Unique Identifier,episode_ref,track_name,date,castaway_ref,std_artist,std_name
0,3226,I Wish by Stevie Wonder,2/23/2020,2943,stevie wonder,melanie c
1,3226,The Chain by Fleetwood Mac,2/23/2020,2943,fleetwood mac,melanie c
2,3226,Prince Charming by Adam and the Ants,2/23/2020,2943,adam and the ants,melanie c
5,3226,everything i wanted by Billie Eilish,2/23/2020,2943,billie eilish,melanie c
6,3226,Heaven on Their Minds by Tim Minchin,2/23/2020,2943,tim minchin,melanie c
7,3226,You'll Never Walk Alone by Gerry and the Pacemakers,2/23/2020,2943,gerry and the pacemakers,melanie c
8,3227,Greatest Living Creature by John Grant,1/3/2020,2944,john grant,dorothy byrne
9,3227,Non-Alignment Pact by Pere Ubu,1/3/2020,2944,pere ubu,dorothy byrne
10,3227,I Know That My Redeemer Liveth by George Frideric Handel,1/3/2020,2944,george frideric handel,dorothy byrne
11,3227,Teacher Don't Teach Me Nonsense by Fela Kuti,1/3/2020,2944,fela kuti,dorothy byrne
12,3227,Dido's Lament: When I'm Laid In Earth by Henry Purcell,1/3/2020,2944,henry purcell,dorothy byrne
13,3227,World in Action by Matt Berry,1/3/2020,2944,matt berry,dorothy byrne
14,3227,The Wheels on the Bus by Leonard Pearcey,1/3/2020,2944,leonard pearcey,dorothy byrne
15,3227,The People United Will Never Be Defeated by Frederic Rzewski,1/3/2020,2944,frederic rzewski,dorothy byrne
16,3228,Fantasia on a Theme of Thomas Tallis by Ralph Vaughan Williams,8/3/2020,2945,ralph vaughan williams,chris riddell
17,3228,"The Funeral: September 25, 1977 (Nkosi Sikelel' iAfrika) by Thuli Dumakude",8/3/2020,2945,thuli dumakude,chris riddell
18,3228,Smoke Signals by Phoebe Bridgers,8/3/2020,2945,phoebe bridgers,chris riddell
19,3228,Final Day by Young Marble Giants,8/3/2020,2945,young marble giants,chris riddell
20,3228,Suzanne by Leonard Cohen,8/3/2020,2945,leonard cohen,chris riddell
21,3228,Horace In Brighton by Bird in the Belly,8/3/2020,2945,bird in the belly,chris riddell
22,3228,Klarinettenkonzert A-Dur K. 622 - 2. Adagio - II. Adagio by Wolfgang Amadeus Mozart,8/3/2020,2945,wolfgang amadeus mozart,chris riddell
23,3228,Tabula rasa: II. Silentium by Arvo Pärt,8/3/2020,2945,arvo pärt,chris riddell
24,3229,Bring Me Sunshine by Morecambe & Wise,3/15/2020,2946,morecambe & wise,daniel radcliffe
25,3229,We Will All Go Together When We Go by Tom Lehrer,3/15/2020,2946,tom lehrer,daniel radcliffe
28,3229,Killer Parties by The Hold Steady,3/15/2020,2946,the hold steady,daniel radcliffe
29,3229,Into My Arms by Nick Cave & the Bad Seeds,3/15/2020,2946,nick cave & the bad seeds,daniel radcliffe
30,3229,Emily by Joanna Newsom,3/15/2020,2946,joanna newsom,daniel radcliffe
31,3229,Attaboy by Yo-Yo Ma,3/15/2020,2946,yo-yo ma,daniel radcliffe
32,3230,My Sweet Lord by George Harrison,3/22/2020,2947,george harrison,dame helena morrissey
33,3230,"Polonaise in A Flat, Op. 53, Heroic by Frédéric Chopin",3/22/2020,2947,frédéric chopin,dame helena morrissey
35,3230,Being Boring by Pet Shop Boys,3/22/2020,2947,pet shop boys,dame helena morrissey
36,3230,Moon River by Audrey Hepburn,3/22/2020,2947,audrey hepburn,dame helena morrissey
