,episode_ref,track_name,trackNo,favourite,artist,disc,date,name,castaway_ref,std_artist,std_disc,std_name,disc_ref
0,3226,I Wish by Stevie Wonder,1,1,Stevie Wonder,I Wish,2/23/2020,Melanie C,2943,stevie wonder,I Wish,melanie c,
1,3226,The Chain by Fleetwood Mac,2,0,Fleetwood Mac,The Chain,2/23/2020,Melanie C,2943,fleetwood mac,The Chain,melanie c,
2,3226,Prince Charming by Adam and the Ants,3,0,Adam and the Ants,Prince Charming,2/23/2020,Melanie C,2943,adam and the ants,Prince Charming,melanie c,
3,3226,Into The Groove by Madonna,4,0,Madonna,Into The Groove,2/23/2020,Melanie C,2943,madonna,Into The Groove,melanie c,
4,3226,Girls & Boys by Blur,5,0,Blur,Girls & Boys,2/23/2020,Melanie C,2943,blur,Girls & Boys,melanie c,
5,3226,everything i wanted by Billie Eilish,6,0,Billie Eilish,everything i wanted,2/23/2020,Melanie C,2943,billie eilish,everything i wanted,melanie c,
6,3226,Heaven on Their Minds by Tim Minchin,7,0,Tim Minchin,Heaven on Their Minds,2/23/2020,Melanie C,2943,tim minchin,Heaven on Their Minds,melanie c,
7,3226,You'll Never Walk Alone by Gerry and the Pacemakers,8,0,Gerry and the Pacemakers,You'll Never Walk Alone,2/23/2020,Melanie C,2943,gerry and the pacemakers,You'll Never Walk Alone,melanie c,
8,3227,Greatest Living Creature by John Grant,1,0,John Grant,Greatest Living Creature,1/3/2020,Dorothy Byrne,2944,john grant,Greatest Living Creature,dorothy byrne,
9,3227,Non-Alignment Pact by Pere Ubu,2,0,Pere Ubu,Non-Alignment Pact,1/3/2020,Dorothy Byrne,2944,pere ubu,Non-Alignment Pact,dorothy byrne,
10,3227,I Know That My Redeemer Liveth by George Frideric Handel,3,1,George Frideric Handel,I Know That My Redeemer Liveth,1/3/2020,Dorothy Byrne,2944,george frideric handel,I Know That My Redeemer Liveth,dorothy byrne,
11,3227,Teacher Don't Teach Me Nonsense by Fela Kuti,4,0,Fela Kuti,Teacher Don't Teach Me Nonsense,1/3/2020,Dorothy Byrne,2944,fela kuti,Teacher Don't Teach Me Nonsense,dorothy byrne,
12,3227,Dido's Lament: When I'm Laid In Earth by Henry Purcell,5,0,Henry Purcell,Dido's Lament: When I'm Laid In Earth,1/3/2020,Dorothy Byrne,2944,henry purcell,Dido's Lament: When I'm Laid In Earth,dorothy byrne,
13,3227,World in Action by Matt Berry,6,0,Matt Berry,World in Action,1/3/2020,Dorothy Byrne,2944,matt berry,World in Action,dorothy byrne,
14,3227,The Wheels on the Bus by Leonard Pearcey,7,0,Leonard Pearcey,The Wheels on the Bus,1/3/2020,Dorothy Byrne,2944,leonard pearcey,The Wheels on the Bus,dorothy byrne,
15,3227,The People United Will Never Be Defeated by Frederic Rzewski,8,0,Frederic Rzewski,The People United Will Never Be Defeated,1/3/2020,Dorothy Byrne,2944,frederic rzewski,The People United Will Never Be Defeated,dorothy byrne,
16,3228,Fantasia on a Theme of Thomas Tallis by Ralph Vaughan Williams,1,1,Ralph Vaughan Williams,Fantasia on a Theme of Thomas Tallis,8/3/2020,Chris Riddell,2945,ralph vaughan williams,Fantasia on a Theme of Thomas Tallis,chris riddell,
17,3228,"The Funeral: September 25, 1977 (Nkosi Sikelel' iAfrika) by Thuli Dumakude",2,0,Thuli Dumakude,"The Funeral: September 25, 1977 (Nkosi Sikelel' iAfrika)",8/3/2020,Chris Riddell,2945,thuli dumakude,"The Funeral: September 25, 1977 (Nkosi Sikelel' iAfrika)",chris riddell,
18,3228,Smoke Signals by Phoebe Bridgers,3,0,Phoebe Bridgers,Smoke Signals,8/3/2020,Chris Riddell,2945,phoebe bridgers,Smoke Signals,chris riddell,
19,3228,Final Day by Young Marble Giants,4,0,Young Marble Giants,Final Day,8/3/2020,Chris Riddell,2945,young marble giants,Final Day,chris riddell,
20,3228,Suzanne by Leonard Cohen,5,0,Leonard Cohen,Suzanne,8/3/2020,Chris Riddell,2945,leonard cohen,Suzanne,chris riddell,
21,3228,Horace In Brighton by Bird in the Belly,6,0,Bird in the Belly,Horace In Brighton,8/3/2020,Chris Riddell,2945,bird in the belly,Horace In Brighton,chris riddell,
22,3228,Klarinettenkonzert A-Dur K. 622 - 2. Adagio - II. Adagio by Wolfgang Amadeus Mozart,7,0,Wolfgang Amadeus Mozart,Klarinettenkonzert A-Dur K. 622 - 2. Adagio - II. Adagio,8/3/2020,Chris Riddell,2945,wolfgang amadeus mozart,Klarinettenkonzert A-Dur K. 622 - 2. Adagio - II. Adagio,chris riddell,
23,3228,Tabula rasa: II. Silentium by Arvo Pärt,8,0,Arvo Pärt,Tabula rasa: II. Silentium,8/3/2020,Chris Riddell,2945,arvo pärt,Tabula rasa: II. Silentium,chris riddell,
24,3229,Bring Me Sunshine by Morecambe & Wise,1,1,Morecambe & Wise,Bring Me Sunshine,3/15/2020,Daniel Radcliffe,2946,morecambe & wise,Bring Me Sunshine,daniel radcliffe,
25,3229,We Will All Go Together When We Go by Tom Lehrer,2,0,Tom Lehrer,We Will All Go Together When We Go,3/15/2020,Daniel Radcliffe,2946,tom lehrer,We Will All Go Together When We Go,daniel radcliffe,
26,3229,Where Is My Mind? by Pixies,3,0,Pixies,Where Is My Mind?,3/15/2020,Daniel Radcliffe,2946,pixies,Where Is My Mind?,daniel radcliffe,
