Unique Identifier,episode_ref,track_name,date,date_text,decade,castaway_ref,std_name,std_artist,std_artist_id
9929,1243,Tosca Act 2 (finale) by Giacomo Puccini,1/5/1990,"January 5,1990",90,694,dirk bogarde,giacomo puccini,A1790
9905,1240,"Libiamo, ne' lieti calici (Brindisi) (from La traviata) by Giuseppe Verdi",1/26/1990,"January 26,1990",90,2637,sir robin day,giuseppe verdi,A1815
9902,1239,German Dance by Franz Schubert,2/2/1990,"February 2,1990",90,1675,lord weidenfeld,franz schubert,A1618
9900,1239,"Si, pel ciel (Oath duet) (from Otello) by Giuseppe Verdi",2/2/1990,"February 2,1990",90,1675,lord weidenfeld,giuseppe verdi,A1815
9904,1239,Don Giovanni - The Quintet by Wolfgang Amadeus Mozart,2/2/1990,"February 2,1990",90,1675,lord weidenfeld,wolfgang amadeus mozart,A5418
9893,1238,Violin Concerto No. 5 in A major 'Turkish' by Wolfgang Amadeus Mozart,2/9/1990,"February 9,1990",90,2469,sarah miles,wolfgang amadeus mozart,A5418
9881,1237,Der Lindenbaum (from Winterreise) by Franz Schubert,2/16/1990,"February 16,1990",90,1871,michael tilson thomas,franz schubert,A1618
9868,1235,Enigma Variations - Theme by Edward Elgar,3/2/1990,"March 2,1990",90,1413,john sessions,edward elgar,A1326
9865,1235,Vissi d'arte (from Tosca) by Giacomo Puccini,3/2/1990,"March 2,1990",90,1413,john sessions,giacomo puccini,A1790
9869,1235,"String Quartet No. 15 in A minor, Op. 132 - 3rd movement by Ludwig van Beethoven",3/2/1990,"March 2,1990",90,1413,john sessions,ludwig van beethoven,A3004
9860,1234,"Si, pel ciel (Oath duet) (from Otello) by Giuseppe Verdi",3/9/1990,"March 9,1990",90,2576,sir ian trethowan,giuseppe verdi,A1815
9859,1234,Symphony No. 9 in D minor 'Choral' - 2nd movement by Ludwig van Beethoven,3/9/1990,"March 9,1990",90,2576,sir ian trethowan,ludwig van beethoven,A3004
9857,1234,Cinque dieci (from The Marriage Of Figaro) by Wolfgang Amadeus Mozart,3/9/1990,"March 9,1990",90,2576,sir ian trethowan,wolfgang amadeus mozart,A5418
