Source,Target,Type,Weight
A3004,A5418,Undirected,71
A1790,A1815,Undirected,5
A1618,A1815,Undirected,16
A5418,A5418,Undirected,31
A1790,A3004,Undirected,14
A1618,A3004,Undirected,32
A1326,A5418,Undirected,17
A1326,A1618,Undirected,8
A1790,A5418,Undirected,14
A1618,A5418,Undirected,51
A1815,A1815,Undirected,5
A3004,A3932,Undirected,11
A1618,A1618,Undirected,5
A1326,A2427,Undirected,10
A1815,A3004,Undirected,27
A3932,A5418,Undirected,15
A1790,A2427,Undirected,12
A1618,A2427,Undirected,41
A1326,A3932,Undirected,6
A1790,A3932,Undirected,4
A1618,A3932,Undirected,5
A1815,A5418,Undirected,35
A2427,A3004,Undirected,48
A3932,A3932,Undirected,3
A1815,A2427,Undirected,9
A1326,A1790,Undirected,13
A2427,A5418,Undirected,83
A1815,A3932,Undirected,9
A1790,A1790,Undirected,4
A1618,A1790,Undirected,2
A2427,A2427,Undirected,21
A2427,A3932,Undirected,7
A3004,A3004,Undirected,9
A1326,A1815,Undirected,6
A1326,A3004,Undirected,18
