Id,Label
std_artist_id,std_artist,date_text
A1790,giacomo puccini,"January 5,1990"
A1815,giuseppe verdi,"January 26,1990"
A1618,franz schubert,"February 2,1990"
A1815,giuseppe verdi,"February 2,1990"
A5418,wolfgang amadeus mozart,"February 2,1990"
A5418,wolfgang amadeus mozart,"February 9,1990"
A1618,franz schubert,"February 16,1990"
A1326,edward elgar,"March 2,1990"
A1790,giacomo puccini,"March 2,1990"
A3004,ludwig van beethoven,"March 2,1990"
A1815,giuseppe verdi,"March 9,1990"
A3004,ludwig van beethoven,"March 9,1990"
A5418,wolfgang amadeus mozart,"March 9,1990"
A1815,giuseppe verdi,"March 16,1990"
A3004,ludwig van beethoven,"March 16,1990"
A1815,giuseppe verdi,"March 23,1990"
A5418,wolfgang amadeus mozart,"March 23,1990"
A3004,ludwig van beethoven,"March 30,1990"
A5418,wolfgang amadeus mozart,"March 30,1990"
A2427,johann sebastian bach,"April 6,1990"
A1618,franz schubert,"April 13,1990"
A3004,ludwig van beethoven,"April 13,1990"
A3004,ludwig van beethoven,"April 20,1990"
A2427,johann sebastian bach,"April 27,1990"
A3004,ludwig van beethoven,"April 27,1990"
A5418,wolfgang amadeus mozart,"April 27,1990"
A1790,giacomo puccini,"May 4,1990"
A3004,ludwig van beethoven,"May 11,1990"
A5418,wolfgang amadeus mozart,"May 11,1990"
A1618,franz schubert,"May 25,1990"
A1326,edward elgar,"June 22,1990"
A2427,johann sebastian bach,"June 22,1990"
A5418,wolfgang amadeus mozart,"June 22,1990"
A3004,ludwig van beethoven,"June 29,1990"
A3932,pyotr ilyich tchaikovsky,"June 29,1990"
A1790,giacomo puccini,"July 13,1990"
A2427,johann sebastian bach,"July 13,1990"
A1790,giacomo puccini,"July 20,1990"
A1790,giacomo puccini,"July 22,1990"
A1790,giacomo puccini,"July 29,1990"
A3932,pyotr ilyich tchaikovsky,"August 12,1990"
A5418,wolfgang amadeus mozart,"August 12,1990"
A1618,franz schubert,"August 26,1990"
A3004,ludwig van beethoven,"August 26,1990"
A1326,edward elgar,"September 7,1990"
A1815,giuseppe verdi,"September 7,1990"
A3004,ludwig van beethoven,"September 7,1990"
A1618,franz schubert,"September 21,1990"
A3004,ludwig van beethoven,"September 21,1990"
A5418,wolfgang amadeus mozart,"September 21,1990"
A1326,edward elgar,"September 28,1990"
A3004,ludwig van beethoven,"September 28,1990"
A5418,wolfgang amadeus mozart,"November 2,1990"
A3004,ludwig van beethoven,"November 16,1990"
A5418,wolfgang amadeus mozart,"December 7,1990"
A1326,edward elgar,"December 21,1990"
A1790,giacomo puccini,"December 21,1990"
A2427,johann sebastian bach,"December 21,1990"
A3932,pyotr ilyich tchaikovsky,"December 21,1990"
A5418,wolfgang amadeus mozart,"December 21,1990"
A1326,edward elgar,"January 11,1991"
A1790,giacomo puccini,"January 11,1991"
A1815,giuseppe verdi,"January 11,1991"
A3004,ludwig van beethoven,"January 11,1991"
A3932,pyotr ilyich tchaikovsky,"January 11,1991"
A2427,johann sebastian bach,"January 25,1991"
A3004,ludwig van beethoven,"January 25,1991"
A5418,wolfgang amadeus mozart,"January 25,1991"
A1326,edward elgar,"February 15,1991"
A1618,franz schubert,"February 15,1991"
A1790,giacomo puccini,"February 15,1991"
A1815,giuseppe verdi,"March 1,1991"
A5418,wolfgang amadeus mozart,"March 1,1991"
A2427,johann sebastian bach,"March 8,1991"
A5418,wolfgang amadeus mozart,"March 8,1991"
A1326,edward elgar,"March 15,1991"
A3004,ludwig van beethoven,"March 15,1991"
A5418,wolfgang amadeus mozart,"March 15,1991"
A1326,edward elgar,"March 22,1991"
A5418,wolfgang amadeus mozart,"March 22,1991"
A1618,franz schubert,"April 5,1991"
A3004,ludwig van beethoven,"April 5,1991"
A1815,giuseppe verdi,"April 19,1991"
A3004,ludwig van beethoven,"April 26,1991"
A1326,edward elgar,"May 3,1991"
A1790,giacomo puccini,"May 3,1991"
A3004,ludwig van beethoven,"May 3,1991"
A1326,edward elgar,"May 17,1991"
A3932,pyotr ilyich tchaikovsky,"May 17,1991"
A3004,ludwig van beethoven,"May 24,1991"
A3004,ludwig van beethoven,"May 31,1991"
A5418,wolfgang amadeus mozart,"May 31,1991"
A1790,giacomo puccini,"July 12,1991"
A1815,giuseppe verdi,"July 12,1991"
A3004,ludwig van beethoven,"July 12,1991"
A1326,edward elgar,"July 14,1991"
A1618,franz schubert,"July 14,1991"
A1790,giacomo puccini,"July 14,1991"
A2427,johann sebastian bach,"July 14,1991"
A5418,wolfgang amadeus mozart,"July 14,1991"
A1815,giuseppe verdi,"July 21,1991"
A3004,ludwig van beethoven,"July 21,1991"
A3932,pyotr ilyich tchaikovsky,"July 21,1991"
A5418,wolfgang amadeus mozart,"July 21,1991"
A1815,giuseppe verdi,"August 4,1991"
A1326,edward elgar,"September 6,1991"
A1618,franz schubert,"September 13,1991"
A2427,johann sebastian bach,"September 13,1991"
A5418,wolfgang amadeus mozart,"September 13,1991"
A1618,franz schubert,"September 20,1991"
A2427,johann sebastian bach,"September 20,1991"
A1815,giuseppe verdi,"September 27,1991"
A3004,ludwig van beethoven,"September 27,1991"
A3932,pyotr ilyich tchaikovsky,"September 27,1991"
A1815,giuseppe verdi,"October 18,1991"
A5418,wolfgang amadeus mozart,"October 18,1991"
A2427,johann sebastian bach,"October 25,1991"
A3004,ludwig van beethoven,"October 25,1991"
A2427,johann sebastian bach,"November 1,1991"
A3004,ludwig van beethoven,"November 1,1991"
A5418,wolfgang amadeus mozart,"November 1,1991"
A3004,ludwig van beethoven,"November 8,1991"
A5418,wolfgang amadeus mozart,"November 8,1991"
A1790,giacomo puccini,"November 15,1991"
A3932,pyotr ilyich tchaikovsky,"December 13,1991"
A3932,pyotr ilyich tchaikovsky,"December 20,1991"
A1815,giuseppe verdi,"January 10,1992"
A5418,wolfgang amadeus mozart,"January 10,1992"
A2427,johann sebastian bach,"January 17,1992"
A1815,giuseppe verdi,"January 24,1992"
A5418,wolfgang amadeus mozart,"January 24,1992"
A1326,edward elgar,"January 31,1992"
A2427,johann sebastian bach,"February 14,1992"
A1790,giacomo puccini,"February 21,1992"
A3004,ludwig van beethoven,"February 21,1992"
A1618,franz schubert,"February 28,1992"
A3004,ludwig van beethoven,"February 28,1992"
A5418,wolfgang amadeus mozart,"February 28,1992"
A1618,franz schubert,"April 10,1992"
A2427,johann sebastian bach,"April 10,1992"
A3004,ludwig van beethoven,"April 10,1992"
A5418,wolfgang amadeus mozart,"April 10,1992"
A1618,franz schubert,"May 1,1992"
A2427,johann sebastian bach,"May 1,1992"
A3004,ludwig van beethoven,"May 1,1992"
A5418,wolfgang amadeus mozart,"May 1,1992"
A1326,edward elgar,"May 22,1992"
A1790,giacomo puccini,"May 22,1992"
A3004,ludwig van beethoven,"May 22,1992"
A5418,wolfgang amadeus mozart,"May 22,1992"
A1618,franz schubert,"May 29,1992"
A3004,ludwig van beethoven,"May 29,1992"
A5418,wolfgang amadeus mozart,"May 29,1992"
A1618,franz schubert,"June 5,1992"
A2427,johann sebastian bach,"June 5,1992"
A5418,wolfgang amadeus mozart,"June 5,1992"
A1790,giacomo puccini,"June 12,1992"
A2427,johann sebastian bach,"June 12,1992"
A1790,giacomo puccini,"June 19,1992"
A1326,edward elgar,"June 26,1992"
A1618,franz schubert,"June 26,1992"
A2427,johann sebastian bach,"June 26,1992"
A5418,wolfgang amadeus mozart,"July 10,1992"
A5418,wolfgang amadeus mozart,"July 17,1992"
A2427,johann sebastian bach,"July 24,1992"
A1326,edward elgar,"July 31,1992"
A2427,johann sebastian bach,"July 31,1992"
A3004,ludwig van beethoven,"July 31,1992"
A3932,pyotr ilyich tchaikovsky,"July 31,1992"
A5418,wolfgang amadeus mozart,"July 31,1992"
A1790,giacomo puccini,"August 21,1992"
A5418,wolfgang amadeus mozart,"August 21,1992"
A2427,johann sebastian bach,"August 28,1992"
A5418,wolfgang amadeus mozart,"August 28,1992"
A5418,wolfgang amadeus mozart,"September 4,1992"
A2427,johann sebastian bach,"September 18,1992"
A5418,wolfgang amadeus mozart,"September 18,1992"
A3004,ludwig van beethoven,"September 25,1992"
A2427,johann sebastian bach,"October 2,1992"
A1618,franz schubert,"October 16,1992"
A1815,giuseppe verdi,"October 16,1992"
A3932,pyotr ilyich tchaikovsky,"October 16,1992"
A5418,wolfgang amadeus mozart,"October 16,1992"
A3004,ludwig van beethoven,"October 30,1992"
A5418,wolfgang amadeus mozart,"October 30,1992"
A3932,pyotr ilyich tchaikovsky,"November 20,1992"
A2427,johann sebastian bach,"November 27,1992"
A1815,giuseppe verdi,"December 4,1992"
A3004,ludwig van beethoven,"December 4,1992"
A3932,pyotr ilyich tchaikovsky,"December 4,1992"
A1618,franz schubert,"December 11,1992"
A1815,giuseppe verdi,"December 11,1992"
A3004,ludwig van beethoven,"December 18,1992"
A5418,wolfgang amadeus mozart,"December 18,1992"
A1790,giacomo puccini,"December 27,1992"
A3004,ludwig van beethoven,"December 27,1992"
A5418,wolfgang amadeus mozart,"December 27,1992"
A1326,edward elgar,"January 8,1993"
A1790,giacomo puccini,"January 8,1993"
A3004,ludwig van beethoven,"January 8,1993"
A5418,wolfgang amadeus mozart,"January 8,1993"
A1815,giuseppe verdi,"January 15,1993"
A5418,wolfgang amadeus mozart,"January 15,1993"
A3004,ludwig van beethoven,"January 22,1993"
A2427,johann sebastian bach,"February 5,1993"
A3004,ludwig van beethoven,"February 5,1993"
A5418,wolfgang amadeus mozart,"February 5,1993"
A1790,giacomo puccini,"February 26,1993"
A1815,giuseppe verdi,"February 26,1993"
A5418,wolfgang amadeus mozart,"February 26,1993"
A1618,franz schubert,"March 5,1993"
A1815,giuseppe verdi,"March 5,1993"
A3004,ludwig van beethoven,"March 5,1993"
A5418,wolfgang amadeus mozart,"March 5,1993"
A1326,edward elgar,"March 12,1993"
A1790,giacomo puccini,"March 12,1993"
A1618,franz schubert,"March 21,1993"
A1618,franz schubert,"April 2,1993"
A2427,johann sebastian bach,"April 2,1993"
A3004,ludwig van beethoven,"April 2,1993"
A5418,wolfgang amadeus mozart,"April 2,1993"
A5418,wolfgang amadeus mozart,"April 23,1993"
A3004,ludwig van beethoven,"May 7,1993"
A5418,wolfgang amadeus mozart,"May 7,1993"
A1815,giuseppe verdi,"May 14,1993"
A3004,ludwig van beethoven,"May 14,1993"
A5418,wolfgang amadeus mozart,"May 14,1993"
A2427,johann sebastian bach,"May 21,1993"
A5418,wolfgang amadeus mozart,"May 21,1993"
A2427,johann sebastian bach,"June 25,1993"
A1790,giacomo puccini,"July 9,1993"
A2427,johann sebastian bach,"July 9,1993"
A1618,franz schubert,"July 16,1993"
A1815,giuseppe verdi,"July 16,1993"
A5418,wolfgang amadeus mozart,"July 16,1993"
A1790,giacomo puccini,"July 23,1993"
A3932,pyotr ilyich tchaikovsky,"August 6,1993"
A5418,wolfgang amadeus mozart,"August 6,1993"
A1790,giacomo puccini,"August 13,1993"
A1326,edward elgar,"August 20,1993"
A1790,giacomo puccini,"August 20,1993"
A1618,franz schubert,"September 3,1993"
A2427,johann sebastian bach,"September 3,1993"
A3004,ludwig van beethoven,"September 3,1993"
A1326,edward elgar,"September 10,1993"
A2427,johann sebastian bach,"September 10,1993"
A3004,ludwig van beethoven,"September 17,1993"
A1326,edward elgar,"October 1,1993"
A1815,giuseppe verdi,"October 8,1993"
A5418,wolfgang amadeus mozart,"October 8,1993"
A3004,ludwig van beethoven,"November 5,1993"
A5418,wolfgang amadeus mozart,"December 3,1993"
A2427,johann sebastian bach,"December 5,1993"
A3004,ludwig van beethoven,"December 5,1993"
A5418,wolfgang amadeus mozart,"December 5,1993"
A1815,giuseppe verdi,"December 10,1993"
A3004,ludwig van beethoven,"December 10,1993"
A5418,wolfgang amadeus mozart,"December 10,1993"
A1326,edward elgar,"December 17,1993"
A1326,edward elgar,"December 24,1993"
A5418,wolfgang amadeus mozart,"January 14,1994"
A1618,franz schubert,"January 21,1994"
A5418,wolfgang amadeus mozart,"January 21,1994"
A2427,johann sebastian bach,"February 11,1994"
A3932,pyotr ilyich tchaikovsky,"February 18,1994"
A1618,franz schubert,"March 4,1994"
A1815,giuseppe verdi,"March 4,1994"
A5418,wolfgang amadeus mozart,"March 4,1994"
A1618,franz schubert,"March 13,1994"
A1790,giacomo puccini,"March 18,1994"
A3932,pyotr ilyich tchaikovsky,"March 20,1994"
A3004,ludwig van beethoven,"April 1,1994"
A3932,pyotr ilyich tchaikovsky,"April 1,1994"
A1815,giuseppe verdi,"April 15,1994"
A2427,johann sebastian bach,"April 22,1994"
A5418,wolfgang amadeus mozart,"April 22,1994"
A3932,pyotr ilyich tchaikovsky,"May 27,1994"
A5418,wolfgang amadeus mozart,"May 27,1994"
A3004,ludwig van beethoven,"June 3,1994"
A1815,giuseppe verdi,"June 10,1994"
A3932,pyotr ilyich tchaikovsky,"June 10,1994"
A1618,franz schubert,"June 24,1994"
A3004,ludwig van beethoven,"June 24,1994"
A5418,wolfgang amadeus mozart,"June 24,1994"
A5418,wolfgang amadeus mozart,"July 1,1994"
A1326,edward elgar,"July 8,1994"
A1790,giacomo puccini,"July 8,1994"
A3004,ludwig van beethoven,"July 22,1994"
A5418,wolfgang amadeus mozart,"July 22,1994"
A1790,giacomo puccini,"July 29,1994"
A3004,ludwig van beethoven,"July 29,1994"
A3932,pyotr ilyich tchaikovsky,"July 29,1994"
A1815,giuseppe verdi,"August 5,1994"
A2427,johann sebastian bach,"August 5,1994"
A5418,wolfgang amadeus mozart,"August 5,1994"
A5418,wolfgang amadeus mozart,"August 19,1994"
A1815,giuseppe verdi,"August 26,1994"
