Source,Target,Type,Weight
596,596,Undirected,105
2672,2672,Undirected,28
2249,2249,Undirected,28
1271,1271,Undirected,28
1870,1870,Undirected,28
196,196,Undirected,28
1417,1417,Undirected,28
2607,2607,Undirected,28
1710,1710,Undirected,28
1664,1664,Undirected,28
1192,1192,Undirected,28
1992,1992,Undirected,28
2609,2609,Undirected,28
544,544,Undirected,28
160,160,Undirected,28
1025,1025,Undirected,28
1123,1123,Undirected,28
629,629,Undirected,28
2281,2281,Undirected,28
1394,1394,Undirected,28
424,424,Undirected,28
67,67,Undirected,28
1856,1856,Undirected,28
2117,2117,Undirected,28
1047,1047,Undirected,28
1369,1369,Undirected,28
186,186,Undirected,105
2069,2069,Undirected,21
1240,1240,Undirected,28
1971,1971,Undirected,28
1310,1310,Undirected,28
883,883,Undirected,28
2802,2802,Undirected,28
435,435,Undirected,10
2040,2040,Undirected,28
469,469,Undirected,21
1942,1942,Undirected,21
2593,2593,Undirected,28
1648,1648,Undirected,28
173,173,Undirected,276
2451,2451,Undirected,28
2693,2693,Undirected,105
1195,1195,Undirected,28
1086,1086,Undirected,28
1435,1435,Undirected,21
1874,1874,Undirected,28
1624,1624,Undirected,21
1767,1767,Undirected,28
992,992,Undirected,28
1087,1087,Undirected,28
114,114,Undirected,28
1066,1066,Undirected,28
1360,1360,Undirected,28
2297,2297,Undirected,28
2370,2370,Undirected,28
1207,1207,Undirected,28
2669,2669,Undirected,28
175,175,Undirected,28
56,56,Undirected,28
325,325,Undirected,28
1352,1352,Undirected,120
2064,2064,Undirected,28
2134,2134,Undirected,21
2020,2020,Undirected,28
2207,2207,Undirected,28
2317,2317,Undirected,10
1419,1419,Undirected,21
2265,2265,Undirected,28
1497,1497,Undirected,28
705,705,Undirected,28
1814,1814,Undirected,28
1581,1581,Undirected,28
1554,1554,Undirected,28
1643,1643,Undirected,28
2438,2438,Undirected,28
2771,2771,Undirected,28
2445,2445,Undirected,28
673,673,Undirected,28
1542,1542,Undirected,28
2251,2251,Undirected,28
688,688,Undirected,28
2690,2690,Undirected,28
2150,2150,Undirected,28
2535,2535,Undirected,21
1482,1482,Undirected,28
1558,1558,Undirected,28
1134,1134,Undirected,28
871,871,Undirected,28
2290,2290,Undirected,28
1618,1618,Undirected,28
2901,2901,Undirected,28
1724,1724,Undirected,28
10,10,Undirected,28
2292,2292,Undirected,28
1064,1064,Undirected,28
1389,1389,Undirected,28
1552,1552,Undirected,28
107,107,Undirected,21
674,674,Undirected,28
1896,1896,Undirected,28
1500,1500,Undirected,28
610,610,Undirected,28
1653,1653,Undirected,21
545,545,Undirected,28
2222,2222,Undirected,28
2619,2619,Undirected,28
2635,2635,Undirected,28
757,757,Undirected,21
2124,2124,Undirected,28
1452,1452,Undirected,28
590,590,Undirected,28
2821,2821,Undirected,120
1749,1749,Undirected,28
2145,2145,Undirected,28
1338,1338,Undirected,21
1951,1951,Undirected,28
2645,2645,Undirected,28
1924,1924,Undirected,28
2140,2140,Undirected,28
1582,1582,Undirected,21
265,265,Undirected,28
1257,1257,Undirected,28
2588,2588,Undirected,28
515,515,Undirected,15
1524,1524,Undirected,28
2449,2449,Undirected,28
676,676,Undirected,105
218,218,Undirected,28
2098,2098,Undirected,28
220,220,Undirected,28
1138,1138,Undirected,28
180,180,Undirected,28
791,791,Undirected,28
2029,2029,Undirected,10
2136,2136,Undirected,28
1290,1290,Undirected,28
2565,2565,Undirected,28
86,86,Undirected,28
1068,1068,Undirected,28
1020,1020,Undirected,28
2287,2287,Undirected,28
1601,1601,Undirected,28
2151,2151,Undirected,21
1930,1930,Undirected,28
320,320,Undirected,28
1376,1376,Undirected,28
520,520,Undirected,28
2268,2268,Undirected,120
1174,1174,Undirected,28
1137,1137,Undirected,28
119,119,Undirected,6
153,153,Undirected,28
2278,2278,Undirected,28
908,908,Undirected,28
1657,1657,Undirected,21
746,746,Undirected,28
1740,1740,Undirected,28
414,414,Undirected,28
1171,1171,Undirected,28
716,716,Undirected,28
427,427,Undirected,28
687,687,Undirected,28
2538,2538,Undirected,28
1197,1197,Undirected,28
1130,1130,Undirected,28
481,481,Undirected,28
551,551,Undirected,28
279,279,Undirected,28
856,856,Undirected,28
1753,1753,Undirected,28
2737,2737,Undirected,28
305,305,Undirected,28
2405,2405,Undirected,28
2777,2777,Undirected,28
1993,1993,Undirected,28
1411,1411,Undirected,28
2747,2747,Undirected,28
2935,2935,Undirected,28
122,122,Undirected,21
2479,2479,Undirected,28
1933,1933,Undirected,21
2804,2804,Undirected,28
1633,1633,Undirected,28
2698,2698,Undirected,28
1741,1741,Undirected,28
1799,1799,Undirected,28
2644,2644,Undirected,28
2204,2204,Undirected,28
1537,1537,Undirected,28
140,140,Undirected,28
2511,2511,Undirected,21
1602,1602,Undirected,28
