Id,Label
castaway_ref,std_name
2855,vic oliver
1226,james agate
501,commander campbell
371,c b cochran
2022,pat kirkwood
1201,jack hylton
380,captain a e dingle
1333,joan jay
2253,reverend canon w h elliott
187,arthur askey
536,dame eva turner
1079,harry parry
2800,tom webster
1187,ivor novello
2387,roy plomley
248,beatrice lillie
1599,leslie howard
1927,nathaniel gubbins
235,barrington dalby
832,emlyn williams
1646,lord elton
2294,richard tauber
1436,jonah barrington
1866,michael powell
18,admiral sir edward evans
701,donald mccullough
1150,ian hay
2791,tom driberg
912,frank swinnerton
287,beverley baxter
1112,herbert hodge
370,c a lejeune
1185,ivor brown
2793,tom harrisson
1555,lady eleanor smith
2646,sir stephen tallents
373,c h middleton
1189,j b morton
417,charles hill
36,alan dent
2014,pamela frankau
2219,ralph reader
2922,wing commander guy gibson vc dso dfc
1703,mabel constanduros
931,frederick grisewood
2100,peter fettes
1304,jill balcon
1854,michael harrison
1328,joan edgar
2388,roy williams
90,alvar lidell
2021,pat butler
1729,margaret hubble
1868,michael redgrave
467,claire luce
730,dr c e m joad
410,celia johnson
2842,valerie hobson
330,bobby howes
643,deborah kerr
2501,signalman henry wheeler
803,eileen joyce
2706,stewart granger
2278,richard goolden
1990,nova pilbeam
2665,sonia dresdel
217,barbara mullen
847,eric portman
1905,monica dickens
2335,robertson hare
2933,yvonne arnaud
702,donald peers
2118,peter scott
508,constance cummings
1194,jack buchanan
1512,kay hammond
2122,peter ustinov
1331,joan hammond
1360,john clements
2745,ted kavanagh
146,anona winn
1914,muir mathieson
2102,peter fleming
1732,margaret lockwood
2125,petula clark
1563,larry adler
648,denis compton w j edrich
123,ann todd
544,dame maggie teyte
2805,tommy trinder
1037,gracie fields
841,eric coates
300,bill johnson
2679,stanley holloway
463,cicely courtneidge
1598,leslie henson
1277,jean kent
1310,jimmy edwards
1457,joyce grenfell
3,a e matthews
2138,phyllis calvert
2878,vivian ellis
133,anne crawford
928,freddie mills
2453,sally ann howes
984,george robey
1713,mai zetterling
1104,henry kendall
992,gerald moore
480,clemence dane
2363,ronald shiner
680,diana wynyard
974,george formby
1508,kathleen harrison
811,elisabeth schumann
1394,john mills
558,dame vera lynn
1200,jack hulbert
399,carroll gibbons
2727,sybil thorndike
2670,spike hughes
1284,jeanne de casalis
2093,peter brough archie andrews
505,compton mackenzie
814,elisabeth welch
2346,roger livesey
1117,hermione gingold
920,fred emney
128,anna neagle
2282,richard hearne
2926,wynford vaughan thomas
644,delia murphy
2290,richard murdoch
1544,kirsten flagstad
873,fay compton
2310,robert beatty
717,dorothy dickson
1005,gilbert harding
1029,googie withers
1026,godfrey winn
823,ellaline terriss
335,boyd neel
922,fred perry
1103,henry hall
538,dame gladys cooper
461,christopher stone
1330,joan greenwood
1846,michael denison dulcie gray
2819,trevor howard
141,anne shelton
2265,richard attenborough
2879,vivien leigh
2746,ted ray
2923,winifred atwell
859,esmond knight
315,binnie hale
1454,joy worth
888,florence desmond
2884,w macqueen pope
2762,tessie o shea
1960,nigel patrick
13,ada reeve
2668,sonnie hale
1032,gordon harker
299,bill greenslade
1453,joy nichols
2904,wilfred pickles
1738,margaret rutherford
2218,ralph lynn
252,belita
763,duncan carse
706,donald wolfit
1276,jean carson
631,david tomlinson
2483,sheila sim
2295,richard todd
2013,pamela brown
1822,max miller
1897,moira lister
2892,webster booth
2931,yolande donlan
1988,norman wisdom
1177,isabel jeans
1349,john arlott
1198,jack hawkins
1928,naunton wayne
198,arthur wint
2016,pamela kellino
2629,sir ralph richardson
2633,sir robert helpmann
1577,leo genn
1628,lizbeth webb
996,geraldine mcewan
407,cecil parker
351,brian reece
524,cyril ritchard
1976,nora swinburne
1140,hugh williams
74,alfredo campoli
1592,leslie a hutch hutchinson
1139,hugh sinclair
2072,peggy cummins
1212,jack warner
270,bernard miles
1792,mary ellis
2877,vivian de gurr st george
1302,jessie matthews
1351,john betjeman
2733,t e b clarke
1955,nigel balchin
869,evelyn laye
2320,robert henriques
383,captain m e b banks rm
2245,reginald dixon
921,fred hoyle
1731,margaret leighton
723,dorothy ward
722,dorothy tutin
2534,sir cedric hardwicke
1072,harriet cohen
838,eric ambler
2319,robert harris
2618,sir osbert lancaster
433,chris chataway
2025,pat smythe
2517,sir alan p herbert
2785,tod slaughter
2602,sir malcolm sargent
150,anthony asquith
2801,tommy farr
215,barbara kelly
2813,tony mottram
1938,nicholas monsarrat
2928,yehudi menuhin
1621,lionel gamlin
2833,ursula jeans
788,edward allcard
1181,isobel baillie
1835,michael ayrton
466,claire bloom
2206,r c sherriff
1115,herbert wilcox
2130,philip harben
1604,leslie welch
1374,john gregson
1819,max bygraves
1252,james robertson justice
2500,sidonie goossens
890,frances day
2841,valentine dyall
288,beverley nichols
1210,jack train
264,bernard braden
327,bob monkhouse
2525,sir anton dolin
1565,laurence harvey
2457,sam costa
708,dora bryan
618,david nixon
2758,terry thomas
2315,robert fabian
1534,kenneth more
1920,nancy spain
704,donald sinden
2845,vanessa lee
525,cyril smith
250,bebe daniels
2673,stan kenton
1748,marie burke
1399,john neville
203,athene seyler
1575,len harvey
709,dora labbette
605,david hughes
2309,robert atkins
2707,stirling moss
2744,ted heath
773,eartha kitt
844,eric maschwitz
1594,leslie caron
1308,jim laker
2763,tex ritter
2489,shirley abicair
653,dennis brain
656,dennis price
271,bernard newman
1142,humphrey lyttelton
