Id,Label
castaway_ref,std_name
2449,s p b mais
2479,semprini
1332,joan heal
172,antonia ridge
235,barrington dalby
1114,herbert lom
1579,leon goossens
2528,sir arthur bryant
1202,jack jackson
1786,marty wilde
2146,prince chula chakrabongse of thailand
2438,russ conway
1870,michael somes
2513,sir adrian boult
2497,sidney james
1371,john freeman
136,anne heywood
160,anthony newley
610,david langdon
2491,shirley bassey
352,brian rix
1609,liberace
1750,marie rambert
690,dickie henderson
2150,professor a c b lovell
1480,julian slade
2519,sir alec guinness
479,claudio arrau
776,eddie calvert
372,c day lewis
148,antal dorati
1430,johnny morris
1633,lord boothby
574,danny blanchflower
2026,pat suzuki
1025,godfrey talbot
2043,paul beard
1015,gladys young
1877,michaela armand denis
1619,lionel bart
682,diane cilento
56,alec bedser
2499,sidney torch
856,ernest lough
484,cliff richard
931,frederick grisewood
2832,ursula bloom
782,edmund hockridge
908,frank muir
1992,oda slobodskaya
699,don thompson
1078,harry mortimer
579,dave king
2858,victor gollancz
1531,kenneth horne
289,beverley sisters
2747,ted williams
521,cyril mills
1802,mary ure
173,antonio
1310,jimmy edwards
1489,june bronhill
1248,james mason
394,carmen dragon
1873,michael wilding
1533,kenneth mckellar
2118,peter scott
214,barbara jefford
351,brian reece
14,adam faith
883,finlay currie
2219,ralph reader
2141,pietro annigoni
1536,kenneth williams
1542,kingsley amis
1474,julian bream
2290,richard murdoch
757,dr w grey walter
120,ann haydon
2384,roy hay
126,anna massey
1343,joe davis
1934,nelson riddle
2935,yvonne mitchell
990,gerald durrell
1197,jack fingleton
678,diana dors
796,edward ward
1415,john slater
510,coral browne
2693,stephen king
2802,tommy reilly
379,canon noel duckworth
1085,hattie jacques
896,francis chichester
2563,sir gerald beadle
2893,wee georgie wood
2435,rupert davies
2869,virgil thomson
1326,joan collins
2047,paul gallico
2607,sir michael balcon
325,bob hope
1037,gracie fields
1240,james gunn ra
1141,hughie green
2710,stuart hibberd
1528,ken sykora
2581,sir john gielgud
1511,kay cavendish
2679,stanley holloway
901,frank chacksfield
1060,h e bates
1171,irene handl
499,colonel a d wintle
1682,louis kentner
2234,raymond glendenning
906,frank launder sidney gilliat
1601,leslie phillips
309,billy butlin
2326,robert morley
443,christina foyle
1595,leslie crowther
2553,sir fitzroy maclean
2498,sidney nolan
2515,sir alan cobham
842,eric hosking
86,alistair cooke
1013,giovanni martinelli
1348,john allegro
918,franklin engelmann
2698,stephen spender
358,bruce forsyth
2060,paul rogers
1832,merfyn turner
422,charlie chester
1624,lionel tertis
780,edith day
1753,mario del monaco
2207,r f delderfield
2682,stanley unwin
1552,l hugh newman
2105,peter jones
175,anthony hopkins
1054,gwen ffrangcon davies
872,fanny johnnie cradock
1987,norman tucker
2015,pamela hansford johnson
985,george shearing
2838,val gielgud
749,dr robert stopford
1212,jack warner
2117,peter saunders
131,anna russell
11,acker bilk
4,a g street
1648,lord george sanger
475,clarkson rose
983,george mitchell
721,dorothy squires
245,basil boothroyd
1001,gerry lee
2287,richard lewis
1971,noel coward
2595,sir learie constantine
1837,michael bentine
2204,quentin reynolds
522,cyril ornadel
2087,percy thrower
193,arthur haynes
759,dudley perkins
1596,leslie gilbert illingworth
2570,sir harry whitlohn
2748,ted willis
596,david frost
1758,marjorie proops
2880,vivienne
968,george chisholm
2181,professor l dudley stamp
914,frank worrell
2379,rowland emett
316,birgit nilsson
237,barry bucknell
862,eva bartok
1345,joe loss
280,beryl reid
335,boyd neel
1488,juliette greco
1523,ken dodd
989,geraint evans
389,carleton hobbs
1149,ian fleming
2535,sir charles maclean
1038,graham hill
2474,scobie breasley
746,dr reginald jacques
2669,sophie tucker
2231,raymond baxter
1978,norman del mar
1047,group captain leonard cheshire
266,bernard cribbins
2024,pat moss
1984,norman shelley
19,admiral sir michael maynard denny
2039,patrick moore
1325,joan bennett
2696,stephen potter
1034,gordon pirie
2354,ron grainer
2734,t r robinson
1884,millicent martin
1066,harford montgomery hyde
1951,nicolai poliakoff
2139,phyllis sellick
716,dorita pepe
861,ethel revnell
1593,leslie baily
2265,richard attenborough
2244,regina resnik
1482,julie andrews
2921,wilson whineray
2906,wilfrid brambell
2612,sir miles thomas
2672,stan barstow
1159,ian wallace
2260,rex alston
1307,jim clark
609,david kossoff
532,dame edith evans
606,david jacobs
2297,richard wattis
1082,harry wheatcroft
2063,paul tortelier
1530,kenneth connor
1016,glen byam shaw
711,dorian williams
2846,vanessa redgrave
636,david wynne
2386,roy macgregor hastie
684,dick chipperfield
2690,stephen grenfell
2085,percy merriman
464,cilla black
1673,lord thomson of fleet
2708,stratford johns
2441,russell brockbank
2307,robbie brightwell
694,dirk bogarde
1356,john bratby
1433,jon pertwee
2259,reverend w awdry
2913,william douglas home
2568,sir harry brittain
1064,hardie ratcliffe
1123,honor blackman
910,frank phillips
343,brian epstein
978,george malcolm
2737,tallulah bankhead
1569,lavinia young
1195,jack de manio
1360,john clements
1767,marlene dietrich
638,dawn addams
905,frank ifield
2529,sir basil spence
2004,owen brannigan
936,gale pedrick
2619,sir paul dukes
191,arthur fiedler
688,dick richards
2632,sir richard woolley
275,bert weedon
94,anatole de grunwald
965,george baker
756,dr w e shewell cooper
545,dame margot fonteyn
25,al read
304,bill shankly
2481,sheila hancock
1086,hayley mills
1478,julian herbage
2322,robert marx
1449,joseph szigeti
1813,maurice denham
1137,hugh lloyd
1071,harold pinter
1011,ginette spanier
1826,maxwell knight
1800,mary stocks
2599,sir lewis casson
2662,sir william walton
145,annie ross
93,ambrose
1075,harry corbett
1704,macdonald hastings
