Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_name
17480,2186,Since by man came death (from Messiah) by George Frideric Handel,1/5/1970,70,70-1,70-1-fyfe robertson,933,george frideric handel,fyfe robertson
17481,2186,Orchestral Suite No. 3 in D major by Johann Sebastian Bach,1/5/1970,70,70-2,70-2-fyfe robertson,933,johann sebastian bach,fyfe robertson
17482,2186,Polovtsian Dances (from Prince Igor) by Alexander Borodin,1/5/1970,70,70-3,70-3-fyfe robertson,933,alexander borodin,fyfe robertson
17483,2186,Cello Concerto in B Minor by Antonín Dvořák,1/5/1970,70,70-4,70-4-fyfe robertson,933,antonin dvorak,fyfe robertson
17484,2186,Come Together by The Beatles,1/5/1970,70,70-5,70-5-fyfe robertson,933,the beatles,fyfe robertson
17485,2186,Sound an alarm! (from Judas Maccabaeus) by George Frideric Handel,1/5/1970,70,70-6,70-6-fyfe robertson,933,george frideric handel,fyfe robertson
17486,2186,The Magic Flute by Wolfgang Amadeus Mozart,1/5/1970,70,70-7,70-7-fyfe robertson,933,wolfgang amadeus mozart,fyfe robertson
17487,2186,Seneca's death (from The Coronation of Poppea) by Claudio Monteverdi,1/5/1970,70,70-8,70-8-fyfe robertson,933,claudio monteverdi,fyfe robertson
17472,2185,"Piano Quartet No. 2 in E flat major, K493 by Wolfgang Amadeus Mozart",1/12/1970,70,70-9,70-9-leonard sachs,1584,wolfgang amadeus mozart,leonard sachs
17473,2185,The little shepherd (from Children's Corner) by Claude Debussy,1/12/1970,70,70-10,70-10-leonard sachs,1584,claude debussy,leonard sachs
17474,2185,"Gretchen Am Spinnrade, D118 by Franz Schubert",1/12/1970,70,70-11,70-11-leonard sachs,1584,franz schubert,leonard sachs
17475,2185,Go down Moses (from A Child of our Time) by Paul Robeson,1/12/1970,70,70-12,70-12-leonard sachs,1584,paul robeson,leonard sachs
17476,2185,Begin The Beguine by Grand Popular Orchestra Of The Americas,1/12/1970,70,70-13,70-13-leonard sachs,1584,grand popular orchestra of the americas,leonard sachs
17477,2185,What More is There to Say? by Eleanor Summerfield,1/12/1970,70,70-14,70-14-leonard sachs,1584,eleanor summerfield,leonard sachs
17478,2185,Boum! by Charles Trenet,1/12/1970,70,70-15,70-15-leonard sachs,1584,charles trenet,leonard sachs
17479,2185,The Yellow Brick Road by Judy Garland,1/12/1970,70,70-16,70-16-leonard sachs,1584,judy garland,leonard sachs
17464,2184,Bourrée II by Johann Sebastian Bach,1/19/1970,70,70-17,70-17-val doonican,2837,johann sebastian bach,val doonican
17465,2184,Fantasia On A Theme By Thomas Tallis by Ralph Vaughan Williams,1/19/1970,70,70-18,70-18-val doonican,2837,ralph vaughan williams,val doonican
17466,2184,Four-O-Thirty-Three by George Jones,1/19/1970,70,70-19,70-19-val doonican,2837,george jones,val doonican
17467,2184,"Concerto No 1 in D, Opus 99 by Mario Castelnuovo-Tedesco",1/19/1970,70,70-20,70-20-val doonican,2837,mario castelnuovo tedesco,val doonican
17468,2184,People Will Say We're In Love by Erroll Garner,1/19/1970,70,70-21,70-21-val doonican,2837,erroll garner,val doonican
17469,2184,Symphony No. 8 in G major by Antonín Dvořák,1/19/1970,70,70-22,70-22-val doonican,2837,antonin dvorak,val doonican
17470,2184,Scarborough Fair by Simon & Garfunkel,1/19/1970,70,70-23,70-23-val doonican,2837,simon garfunkel,val doonican
17471,2184,As Praias Desertas by Charlie Byrd With Strings,1/19/1970,70,70-24,70-24-val doonican,2837,charlie byrd with strings,val doonican
17456,2183,"Well-tempered Clavier, Book 2 - Prelude in B minor by Johann Sebastian Bach",1/26/1970,70,70-25,70-25-professor a s c ross,2152,johann sebastian bach,professor a s c ross
17457,2183,Symphony No. 4 In D Minor by Robert Schumann,1/26/1970,70,70-26,70-26-professor a s c ross,2152,robert schumann,professor a s c ross
17458,2183,Variations on the St Antoni Chorale by Johannes Brahms,1/26/1970,70,70-27,70-27-professor a s c ross,2152,johannes brahms,professor a s c ross
17459,2183,A Walk in the Black Forest by Horst Jankowski,1/26/1970,70,70-28,70-28-professor a s c ross,2152,horst jankowski,professor a s c ross
