Source,Target,Type,Weight
50-818,50-1093,Undirected,1
50-147,50-969,Undirected,1
50-419,50-2563,Undirected,1
50-2998,10-1115,Undirected,1
50-1918,50-2936,Undirected,1
50-2876,10-2573,Undirected,1
50-1538,50-1587,Undirected,1
50-2606,10-1190,Undirected,1
10-27,10-48,Undirected,1
50-479,50-942,Undirected,1
40-73,40-240,Undirected,1
50-300,50-732,Undirected,1
50-446,50-3055,Undirected,1
50-2272,10-1665,Undirected,1
50-2733,10-1277,Undirected,1
50-510,50-3005,Undirected,1
50-589,10-769,Undirected,1
10-3028,20-116,Undirected,1
50-1761,10-1390,Undirected,1
50-1096,50-2892,Undirected,1
50-1263,10-902,Undirected,1
10-216,10-1015,Undirected,1
50-2606,10-2776,Undirected,1
50-776,50-1995,Undirected,1
10-2628,10-2874,Undirected,1
50-2330,10-2700,Undirected,1
50-489,50-1428,Undirected,1
40-519,10-1801,Undirected,1
50-3186,10-2883,Undirected,1
50-403,50-1954,Undirected,1
50-989,50-1717,Undirected,1
10-40,20-301,Undirected,1
50-975,50-1043,Undirected,1
40-272,50-2530,Undirected,1
50-567,20-397,Undirected,1
10-9,10-2892,Undirected,1
50-2585,10-58,Undirected,1
50-1847,10-2801,Undirected,1
50-582,50-2281,Undirected,1
50-1881,50-2122,Undirected,1
10-344,10-2707,Undirected,1
40-268,50-513,Undirected,1
50-1194,50-1503,Undirected,1
50-1442,10-625,Undirected,1
40-240,50-3064,Undirected,1
40-15,50-945,Undirected,1
40-173,50-977,Undirected,1
10-299,10-2761,Undirected,1
50-625,50-1916,Undirected,1
50-379,50-3092,Undirected,1
50-411,50-2140,Undirected,1
10-422,10-1366,Undirected,1
10-2756,20-42,Undirected,1
50-1887,10-2153,Undirected,1
50-914,10-694,Undirected,1
50-2907,10-2013,Undirected,1
10-388,10-2107,Undirected,1
50-1954,10-2583,Undirected,1
50-643,10-2389,Undirected,1
50-2278,50-2348,Undirected,1
50-31,50-984,Undirected,1
10-1446,10-2861,Undirected,1
40-372,50-3109,Undirected,1
50-1422,10-1429,Undirected,1
50-1915,10-2201,Undirected,1
50-1621,50-1975,Undirected,1
50-2063,10-1883,Undirected,1
50-993,10-331,Undirected,1
10-782,10-2881,Undirected,1
50-1562,50-3115,Undirected,1
50-1059,50-1745,Undirected,1
50-576,10-860,Undirected,1
50-2332,10-2114,Undirected,1
50-914,10-2506,Undirected,1
40-229,50-1971,Undirected,1
50-1436,50-2314,Undirected,1
50-414,10-539,Undirected,1
40-316,10-936,Undirected,1
40-501,50-1276,Undirected,1
50-500,50-3038,Undirected,1
40-297,50-414,Undirected,1
50-2040,50-2626,Undirected,1
50-426,50-2454,Undirected,1
50-18,10-1700,Undirected,1
40-473,50-83,Undirected,1
10-863,10-2836,Undirected,1
50-1256,50-1877,Undirected,1
50-1640,10-2469,Undirected,1
50-2698,10-1259,Undirected,1
10-2945,20-353,Undirected,1
40-461,50-1216,Undirected,1
50-82,50-2098,Undirected,1
40-365,50-1431,Undirected,1
50-476,20-104,Undirected,1
50-415,50-2340,Undirected,1
40-435,10-2153,Undirected,1
40-111,10-769,Undirected,1
50-1420,10-1647,Undirected,1
50-76,50-169,Undirected,1
50-1422,10-2804,Undirected,1
40-514,10-368,Undirected,1
50-2944,10-430,Undirected,1
50-461,50-1954,Undirected,1
50-119,50-1468,Undirected,1
50-1645,10-124,Undirected,1
10-1982,10-2341,Undirected,1
50-1187,10-1070,Undirected,1
50-2365,10-1930,Undirected,1
10-483,10-1922,Undirected,1
50-28,50-1263,Undirected,1
10-112,10-423,Undirected,1
40-508,50-2327,Undirected,1
10-120,10-753,Undirected,1
50-386,50-1054,Undirected,1
50-664,50-1254,Undirected,1
50-1192,10-2695,Undirected,1
50-1967,50-2043,Undirected,1
50-2612,20-357,Undirected,1
50-2352,50-2925,Undirected,1
10-1273,10-1956,Undirected,1
50-475,50-3019,Undirected,1
50-2481,10-1070,Undirected,1
50-2557,50-2929,Undirected,1
40-435,50-2987,Undirected,1
50-1272,50-1916,Undirected,1
10-49,10-2518,Undirected,1
40-417,50-1487,Undirected,1
40-232,50-2094,Undirected,1
50-1916,10-1609,Undirected,1
50-1683,20-180,Undirected,1
50-1276,10-608,Undirected,1
10-1175,10-2778,Undirected,1
40-477,50-1190,Undirected,1
50-885,50-1061,Undirected,1
40-217,40-265,Undirected,1
50-2198,50-2815,Undirected,1
50-147,50-2222,Undirected,1
50-978,10-2073,Undirected,1
50-268,10-2584,Undirected,1
50-465,50-2070,Undirected,1
50-1148,50-3102,Undirected,1
40-322,10-547,Undirected,1
50-1448,50-2876,Undirected,1
40-98,50-2953,Undirected,1
40-494,50-195,Undirected,1
50-219,50-2350,Undirected,1
