Id,Label,std_artist
60-1,60-1-s p b mais,harold williams
60-2,60-2-s p b mais,leslie sarony
60-3,60-3-s p b mais,john mchugh
60-4,60-4-s p b mais,hm raf band
60-5,60-5-s p b mais,stuart robertson
60-6,60-6-s p b mais,frederick harvey
60-7,60-7-s p b mais,eartha kitt
60-8,60-8-s p b mais,sutton high school choir
60-9,60-9-semprini,red nichols and his five pennies
60-10,60-10-semprini,franz schubert
60-11,60-11-semprini,carmen amaya and sabicas
60-12,60-12-semprini,johann sebastian bach
60-13,60-13-semprini,enrique granados
60-14,60-14-semprini,jo stafford
60-15,60-15-semprini,frédéric chopin
60-16,60-16-semprini,maurice ravel
60-17,60-17-joan heal,billie holiday
60-18,60-18-joan heal,kay thompson
60-19,60-19-joan heal,andres segovia
60-20,60-20-joan heal,edith piaf
60-21,60-21-joan heal,eddie heywood and his orchestra
60-22,60-22-joan heal,ralph vaughan williams
60-23,60-23-joan heal,inmates of the mississippi state penitentiary
60-24,60-24-joan heal,maurice ravel
60-25,60-25-antonia ridge,dutch barrel organ
60-26,60-26-antonia ridge,charles francois gounod
60-27,60-27-antonia ridge,ralph vaughan williams
60-28,60-28-antonia ridge,reda caire
60-29,60-29-antonia ridge,jules massenet
60-30,60-30-antonia ridge,children s choir
60-31,60-31-antonia ridge,nikolai rimsky korsakov
60-32,60-32-antonia ridge,cesar franck
60-33,60-33-barrington dalby,edward elgar
60-34,60-34-barrington dalby,noel coward
60-35,60-35-barrington dalby,charles francois gounod
60-36,60-36-barrington dalby,giuseppe verdi
60-37,60-37-barrington dalby,coronation of hm queen elizabeth ii
60-38,60-38-barrington dalby,camille saint saens
60-39,60-39-barrington dalby,glasgow orpheus choir
60-40,60-40-barrington dalby,lena horne
60-41,60-41-herbert lom,antonin dvorak
60-42,60-42-herbert lom,tony martin
60-43,60-43-herbert lom,william shakespeare
60-44,60-44-herbert lom,dmitry shostakovich
60-45,60-45-herbert lom,betty jane watson
60-46,60-46-herbert lom,muriel smith
60-47,60-47-herbert lom,igor stravinsky
60-48,60-48-herbert lom,the orphans
60-49,60-49-leon goossens,giacomo puccini
60-50,60-50-leon goossens,andres segovia
60-51,60-51-leon goossens,johann sebastian bach
60-52,60-52-leon goossens,wolfgang amadeus mozart
60-53,60-53-leon goossens,flanders and swann
60-54,60-54-leon goossens,richard wagner
60-55,60-55-leon goossens,coronation of hm queen elizabeth ii
60-56,60-56-leon goossens,george frideric handel
60-57,60-57-sir arthur bryant,alessandro scarlatti
60-58,60-58-sir arthur bryant,michael redgrave
60-59,60-59-sir arthur bryant,the boyd neel orchestra
60-60,60-60-sir arthur bryant,wolfgang amadeus mozart
60-61,60-61-sir arthur bryant,johann sebastian bach
60-62,60-62-sir arthur bryant,the singing dogs
60-63,60-63-sir arthur bryant,edward elgar
60-64,60-64-sir arthur bryant,alfred deller
60-65,60-65-jack jackson,peggy lee
60-66,60-66-jack jackson,peter sellers
60-67,60-67-jack jackson,bix beiderbecke
