Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_artist_id,std_name,Randomized selection
6713,841,Amsterdam by Alejandro Escovedo,11/19/1999,90,90-3203,90-3203-william gibson,2915,alejandro escovedo,art-1,william gibson,TRUE
11771,1473,Stardust by Artie Shaw,2/24/1984,80,80-1675,80-1675-woody herman,2925,artie shaw,art-2,woody herman,TRUE
18875,2360,People by Barbra Streisand,9/5/1966,60,60-2798,60-2798-david hicks,602,barbra streisand,art-3,david hicks,TRUE
25271,3160,Santa Lucia Luntana by Beniamino Gigli,10/17/1952,50,50-708,50-708-joy worth,1454,beniamino gigli,art-4,joy worth,TRUE
15428,1930,"Serenade for Tenor, Horn and Strings by Benjamin Britten",1/6/1975,70,70-2067,70-2067-alan civil,33,benjamin britten,art-5,alan civil,TRUE
21426,2679,Strange Fruit by Billie Holiday,4/11/1960,60,60-127,60-127-john freeman,1371,billie holiday,art-6,john freeman,TRUE
19230,2404,Organ Symphony No. 5 in F minor by Charles-Marie Widor,11/8/1965,60,60-2449,60-2449-constance shacklock,509,charles marie widor,art-7,constance shacklock,TRUE
11949,1495,Organ Symphony No. 5 in F minor by Charles-Marie Widor,12/30/1983,80,80-1615,80-1615-cindy buxton annie price,465,charles marie widor,art-7,cindy buxton annie price,TRUE
22307,2789,Round the Hay Wain' by Chauve-Souris Company,1/8/1944,40,40-317,40-317-alan dent,36,chauve souris company,art-8,alan dent,TRUE
15908,1990,See Amid The Winter's Snow by Choir of Westminster Abbey,11/12/1973,70,70-1596,70-1596-trevor philpott,2822,choir of westminster abbey,art-9,trevor philpott,TRUE
8624,1079,"Exulta, filia Sion by Claudio Monteverdi",1/14/1994,90,90-1264,90-1264-ian hislop,1152,claudio monteverdi,art-10,ian hislop,TRUE
9154,1146,Layla by Derek and the Dominos,5/15/1992,90,90-758,90-758-will carling,2909,derek and the dominos,art-11,will carling,TRUE
9640,1206,Volare by Domenico Modugno,8/4/1991,90,90-559,90-559-baroness trumpington,233,domenico modugno,art-12,baroness trumpington,TRUE
591,74,Do Not Go Gentle into that Good Night by Dylan Thomas,6/1/2018,10,10-2597,10-2597-david baddiel,582,dylan thomas,art-13,david baddiel,TRUE
5188,650,"September by Earth, Wind & Fire",4/30/2004,00,00-1439,00-1439-antonio,173,earth wind fire,art-14,antonio,TRUE
3963,497,"Non, Je Ne Regrette Rien by Édith Piaf",2/22/2008,00,00-2602,00-2602-martin evans,1777,edith piaf,art-15,martin evans,TRUE
5863,734,Write Myself a Letter by Fats Waller,4/19/2002,00,00-783,00-783-sir christopher bland,2536,fats waller,art-16,sir christopher bland,TRUE
21739,2718,When Your Lover Has Gone by Frank Sinatra,2/13/1953,50,50-838,50-838-jean carson,1276,frank sinatra,art-17,jean carson,TRUE
10975,1373,Deep In A Dream by Frank Sinatra,1/9/1987,80,80-2501,80-2501-tony bennett,2808,frank sinatra,art-17,tony bennett,TRUE
24132,3018,Symphony No. 8 in B minor 'Unfinished' by Franz Schubert,9/17/1956,50,50-1840,50-1840-valentine britten,2840,franz schubert,art-18,valentine britten,TRUE
18394,2300,"Piano Sonata No. 21 in B flat major, D960 by Franz Schubert",10/30/1967,60,60-3281,60-3281-denis matthews,649,franz schubert,art-18,denis matthews,TRUE
9190,1150,"Impromptu in A flat major, D935 No. 2 by Franz Schubert",9/3/1993,90,90-1162,90-1162-lady soames,1560,franz schubert,art-18,lady soames,TRUE
1445,182,Are You Lonely For Me Baby by Freddie Scott,10/30/2015,10,10-1822,10-1822-keith richards,1519,freddie scott,art-19,keith richards,TRUE
21796,2725,"Frédéric Chopin - Fantaisie-Impromptu in C sharp minor, Op. 66",9/12/1951,50,50-291,50-291-freddie mills,928,frédéric chopin,art-20,freddie mills,TRUE
8042,1007,"Piano Sonata No. 2 in B flat minor, Op. 35 by Frédéric Chopin",11/17/1995,90,90-1870,90-1870-umberto eco,2831,frédéric chopin,art-20,umberto eco,TRUE
24884,3112,Caprice Viennois by Fritz Kreisler,9/24/1954,50,50-1098,50-1098-vivian de gurr st george,2877,fritz kreisler,art-21,vivian de gurr st george,TRUE
15471,1935,Singin' in the Rain by Gene Kelly,12/2/1974,70,70-2030,70-2030-oliver reed,1997,gene kelly,art-22,oliver reed,TRUE
25678,3211,Barefootin' by Georgie Fame,12/31/2010,10,10-318,10-318-sandie shaw,2461,georgie fame,art-23,sandie shaw,TRUE
21549,2695,Sur la Plage by Gerard Calvi & His Orchestra,11/16/1959,50,50-3150,50-3150-benny hill,263,gerard calvi,art-24,benny hill,TRUE
20536,2568,Mi par d'esser (from The Barber of Seville) by Gioachino Rossini,8/27/1962,60,60-1099,60-1099-mario del monaco,1753,gioachino rossini,art-25,mario del monaco,TRUE
14707,1840,La donna è mobile (from Rigoletto) by Giuseppe Verdi,10/18/1976,70,70-2792,70-2792-anthony powell,161,giuseppe verdi,art-26,anthony powell,TRUE
180,23,"Symphony No. 5 in C sharp minor, IV Adagietto by Gustav Mahler",8/9/2019,10,10-2950,10-2950-sir tim waterstone,2655,gustav mahler,art-27,sir tim waterstone,TRUE
23403,2926,Cornish Rhapsody by Harriet Cohen,6/23/1958,50,50-2576,50-2576-derek mcculloch,663,harriet cohen,art-28,derek mcculloch,TRUE
22237,2781,Nymphs and Shepherds (from The Libertine) by Henry Purcell,8/25/1945,40,40-375,40-375-michael harrison,1854,henry purcell,art-29,michael harrison,TRUE
16866,2109,When I am laid in earth (Dido's Lament) (from Dido and Aeneas) by Henry Purcell,7/12/1971,70,70-626,70-626-laurence whistler,1567,henry purcell,art-29,laurence whistler,TRUE
5985,750,F.E.A.R by Ian Brown,12/28/2001,00,00-649,00-649-jamie oliver,1255,ian brown,art-30,jamie oliver,TRUE
3568,447,Symphony No. 5 in E flat major - 3rd movement by Jean Sibelius,5/22/2009,00,00-3003,00-3003-peter sallis,2116,jean sibelius,art-31,peter sallis,TRUE
22460,2808,Trumpet Voluntary by Jeremiah Clarke,9/17/1942,40,40-166,40-166-lord elton,1646,jeremiah clarke,art-32,lord elton,TRUE
4084,512,There But For Fortune by Joan Baez,11/2/2007,00,00-2479,00-2479-lord joffe,1653,joan baez,art-33,lord joffe,TRUE
17464,2184,Bourrée II by Johann Sebastian Bach,1/19/1970,70,70-17,70-17-val doonican,2837,johann sebastian bach,art-34,val doonican,TRUE
24618,3078,Johann Strauss II - Die Fledermaus Overture,6/28/1955,50,50-1375,50-1375-michael redgrave,1868,johann strauss ii,art-35,michael redgrave,TRUE
9866,1235,Piano Concerto No. 1 in D minor by Johannes Brahms,3/2/1990,90,90-64,90-64-john sessions,1413,johannes brahms,art-36,john sessions,TRUE
1358,171,Theme from Schindler's List by John Williams,1/22/2016,10,10-1905,10-1905-sir anthony seldon,2524,john williams,art-37,sir anthony seldon,TRUE
7946,995,I Gave My Love A Cherry by Josh White,3/1/1996,90,90-1949,90-1949-sir roy calne,2641,josh white,art-38,sir roy calne,TRUE
11416,1428,Brazil by Les Paul,3/8/1985,80,80-2077,80-2077-jorge bolet,1443,les paul,art-39,jorge bolet,TRUE
20047,2507,Waltzing Matilda by Leslie Ross Singers,9/30/1963,60,60-1588,60-1588-group captain leonard cheshire,1047,leslie ross singers,art-40,group captain leonard cheshire,TRUE
22090,2762,Shadrack by Louis Armstrong,1/5/1946,40,40-532,40-532-barbara mullen,217,louis armstrong,art-41,barbara mullen,TRUE
