Id,Label
castaway_ref,std_name,std_artist
2915,william gibson,alejandro escovedo
2925,woody herman,artie shaw
602,david hicks,barbra streisand
1454,joy worth,beniamino gigli
33,alan civil,benjamin britten
1371,john freeman,billie holiday
509,constance shacklock,charles marie widor
465,cindy buxton annie price,charles marie widor
36,alan dent,chauve souris company
2822,trevor philpott,choir of westminster abbey
1152,ian hislop,claudio monteverdi
2909,will carling,derek and the dominos
233,baroness trumpington,domenico modugno
582,david baddiel,dylan thomas
173,antonio,earth wind fire
1777,martin evans,edith piaf
2536,sir christopher bland,fats waller
1276,jean carson,frank sinatra
2808,tony bennett,frank sinatra
2840,valentine britten,franz schubert
649,denis matthews,franz schubert
1560,lady soames,franz schubert
1519,keith richards,freddie scott
928,freddie mills,frédéric chopin
2831,umberto eco,frédéric chopin
2877,vivian de gurr st george,fritz kreisler
1997,oliver reed,gene kelly
2461,sandie shaw,georgie fame
263,benny hill,gerard calvi
1753,mario del monaco,gioachino rossini
161,anthony powell,giuseppe verdi
2655,sir tim waterstone,gustav mahler
663,derek mcculloch,harriet cohen
1854,michael harrison,henry purcell
1567,laurence whistler,henry purcell
1255,jamie oliver,ian brown
2116,peter sallis,jean sibelius
1646,lord elton,jeremiah clarke
1653,lord joffe,joan baez
2837,val doonican,johann sebastian bach
1868,michael redgrave,johann strauss ii
1413,john sessions,johannes brahms
2524,sir anthony seldon,john williams
2641,sir roy calne,josh white
1443,jorge bolet,les paul
1047,group captain leonard cheshire,leslie ross singers
217,barbara mullen,louis armstrong
2530,sir ben ainslie,louis armstrong
609,david kossoff,ludwig van beethoven
1732,margaret lockwood,ludwig van beethoven
2305,roald dahl,ludwig van beethoven
1191,j k rowling,ludwig van beethoven
1866,michael powell,mike nichols and elaine may
1602,leslie sarony,new concert orchestra
2372,rose tremain,nina simone
3000,robert macfarlane,olivier messiaen
1097,helene hanff,ralph vaughan williams
645,delia smith,rhos male voice choir
1557,lady mosley,richard wagner
661,derek jacobi,roberta flack
1507,kathleen hale,scott joplin
2802,tommy reilly,shirley bassey
54,albert michel roux,shirley bassey
2151,professor a h halsey,stuart legg
912,frank swinnerton,the band
923,fred streeter,the band
2069,paulo coelho,the beatles
2947,dame helena morrissey,the clementines
2520,sir alec rose,the melachrino strings
1217,jackie mason,the platters
1762,mark gatiss,the smiths
1485,julie goodyear,tina turner
2496,siddhartha mukherjee,vijay iyer trio
2281,richard griffiths,vladimir horowitz
1712,magnus magnusson,wolfgang amadeus mozart
2414,rt hon michael foot,wolfgang amadeus mozart
