Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_artist_id,std_name,Randomized selection,,,,,
6713,841,Amsterdam by Alejandro Escovedo,11/19/99,90,90-3203,90-3203-william gibson,2915,alejandro escovedo,A107,william gibson,TRUE,,,,,
11771,1473,Stardust by Artie Shaw,2/24/84,80,80-1675,80-1675-woody herman,2925,artie shaw,A301,woody herman,TRUE,,,,,
18875,2360,People by Barbra Streisand,9/5/66,60,60-2798,60-2798-david hicks,602,barbra streisand,A375,david hicks,TRUE,,,,,
25271,3160,Santa Lucia Luntana by Beniamino Gigli,10/17/52,50,50-708,50-708-joy worth,1454,beniamino gigli,A437,joy worth,TRUE,,,,,
15428,1930,"Serenade for Tenor, Horn and Strings by Benjamin Britten",1/6/75,70,70-2067,70-2067-alan civil,33,benjamin britten,A438,alan civil,TRUE,,,,,
21426,2679,Strange Fruit by Billie Holiday,4/11/60,60,60-127,60-127-john freeman,1371,billie holiday,A506,john freeman,TRUE,,,,,
19230,2404,Organ Symphony No. 5 in F minor by Charles-Marie Widor,11/8/65,60,60-2449,60-2449-constance shacklock,509,charles marie widor,A795,constance shacklock,TRUE,,,,,
11949,1495,Organ Symphony No. 5 in F minor by Charles-Marie Widor,12/30/83,80,80-1615,80-1615-cindy buxton annie price,465,charles marie widor,A795,cindy buxton annie price,TRUE,,,,,
22307,2789,Round the Hay Wain' by Chauve-Souris Company,1/8/44,40,40-317,40-317-alan dent,36,chauve souris company,A818,alan dent,TRUE,,,,,
15908,1990,See Amid The Winter's Snow by Choir of Westminster Abbey,11/12/73,70,70-1596,70-1596-trevor philpott,2822,choir of westminster abbey,A851,trevor philpott,TRUE,,,,,
8624,1079,"Exulta, filia Sion by Claudio Monteverdi",1/14/94,90,90-1264,90-1264-ian hislop,1152,claudio monteverdi,A908,ian hislop,TRUE,,,,,
9154,1146,Layla by Derek and the Dominos,5/15/92,90,90-758,90-758-will carling,2909,derek and the dominos,A1130,will carling,TRUE,,,,,
9640,1206,Volare by Domenico Modugno,8/4/91,90,90-559,90-559-baroness trumpington,233,domenico modugno,A1192,baroness trumpington,TRUE,,,,,
591,74,Do Not Go Gentle into that Good Night by Dylan Thomas,6/1/18,10,Oct-97,10-2597-david baddiel,582,dylan thomas,A1275,david baddiel,TRUE,,,,,
5188,650,"September by Earth, Wind & Fire",4/30/04,0,00-1439,00-1439-antonio,173,earth wind fire,A1286,antonio,TRUE,,,,,
3963,497,"Non, Je Ne Regrette Rien by Édith Piaf",2/22/08,0,00-2602,00-2602-martin evans,1777,edith piaf,A1312,martin evans,TRUE,,,,,
