Id,Label
std_artist_id,std_artist,date,decade,std_name
A107,alejandro escovedo,11/19/99,90,william gibson
A301,artie shaw,2/24/84,80,woody herman
A375,barbra streisand,9/5/66,60,david hicks
A437,beniamino gigli,10/17/52,50,joy worth
A438,benjamin britten,1/6/75,70,alan civil
A506,billie holiday,4/11/60,60,john freeman
A795,charles marie widor,11/8/65,60,constance shacklock
A795,charles marie widor,12/30/83,80,cindy buxton annie price
A818,chauve souris company,1/8/44,40,alan dent
A851,choir of westminster abbey,11/12/73,70,trevor philpott
A908,claudio monteverdi,1/14/94,90,ian hislop
A1130,derek and the dominos,5/15/92,90,will carling
A1192,domenico modugno,8/4/91,90,baroness trumpington
A1275,dylan thomas,6/1/18,10,david baddiel
A1286,earth wind fire,4/30/04,0,antonio
A1312,edith piaf,2/22/08,0,martin evans
A1510,fats waller,4/19/02,0,sir christopher bland
A1599,frank sinatra,2/13/53,50,jean carson
A1599,frank sinatra,1/9/87,80,tony bennett
A1618,franz schubert,9/17/56,50,valentine britten
A1618,franz schubert,10/30/67,60,denis matthews
A1618,franz schubert,9/3/93,90,lady soames
A1633,freddie scott,10/30/15,10,keith richards
A1637,frédéric chopin,9/12/51,50,freddie mills
A1637,frédéric chopin,11/17/95,90,umberto eco
A1649,fritz kreisler,9/24/54,50,vivian de gurr st george
A1695,gene kelly,12/2/74,70,oliver reed
A1759,georgie fame,12/31/10,10,sandie shaw
A1767,gerard calvi,11/16/59,50,benny hill
A1804,gioachino rossini,8/27/62,60,mario del monaco
A1815,giuseppe verdi,10/18/76,70,anthony powell
A1898,gustav mahler,8/9/19,10,sir tim waterstone
A1943,harriet cohen,6/23/58,50,derek mcculloch
A2014,henry purcell,8/25/45,40,michael harrison
A2014,henry purcell,7/12/71,70,laurence whistler
A2111,ian brown,12/28/01,0,jamie oliver
A2304,jean sibelius,5/22/09,0,peter sallis
A2323,jeremiah clarke,9/17/42,40,lord elton
A2383,joan baez,11/2/07,0,lord joffe
A2427,johann sebastian bach,1/19/70,70,val doonican
A2429,johann strauss ii,6/28/55,50,michael redgrave
A2430,johannes brahms,3/2/90,90,john sessions
A2514,john williams,1/22/16,10,sir anthony seldon
A2581,josh white,3/1/96,90,sir roy calne
A2856,les paul,3/8/85,80,jorge bolet
A2864,leslie ross singers,9/30/63,60,group captain leonard cheshire
A2977,louis armstrong,1/5/46,40,barbara mullen
A2977,louis armstrong,1/31/14,10,sir ben ainslie
A3004,ludwig van beethoven,5/11/64,60,david kossoff
A3004,ludwig van beethoven,9/18/72,70,margaret lockwood
A3004,ludwig van beethoven,11/2/79,70,roald dahl
A3004,ludwig van beethoven,11/10/00,0,j k rowling
A3299,mike nichols and elaine may,9/26/80,80,michael powell
A3478,new concert orchestra,5/13/68,60,leslie sarony
A3524,nina simone,10/17/97,90,rose tremain
A3602,olivier messiaen,7/25/21,20,robert macfarlane
A3962,ralph vaughan williams,12/25/81,80,helene hanff
A4030,rhos male voice choir,6/11/82,80,delia smith
A4058,richard wagner,12/1/89,80,lady mosley
A4117,roberta flack,6/13/78,70,derek jacobi
A4313,scott joplin,6/5/98,90,kathleen hale
A4377,shirley bassey,10/2/61,60,tommy reilly
A4377,shirley bassey,10/31/86,80,albert michel roux
A4575,stuart legg,5/9/03,0,professor a h halsey
A4697,the band,6/19/43,40,frank swinnerton
A4697,the band,7/15/57,50,fred streeter
A4705,the beatles,7/8/05,0,paulo coelho
A4774,the clementines,3/22/20,20,dame helena morrissey
A4907,the melachrino strings,4/7/69,60,sir alec rose
A4952,the platters,3/16/12,10,jackie mason
A5005,the smiths,10/28/11,10,mark gatiss
A5111,tina turner,3/22/13,10,julie goodyear
A5276,vijay iyer trio,10/6/17,10,siddhartha mukherjee
A5297,vladimir horowitz,1/13/06,0,richard griffiths
A5418,wolfgang amadeus mozart,4/25/77,70,magnus magnusson
A5418,wolfgang amadeus mozart,10/28/88,80,rt hon michael foot
,,,,
