Unique Identifier,episode_ref,track_name,date,decade,castaway_ref,std_name,std_artist,std_artist_id
13393,1676,Suite In A Minor by Christian Sinding,1/4/1980,80,1551,kyung wha chung,christian sinding,A868
13398,1676,Let's Do It (Let's Fall in Love) by Ella Fitzgerald,1/4/1980,80,1551,kyung wha chung,ella fitzgerald,A1368
13400,1676,Suite for Solo Cello No. 5 in C minor by Johann Sebastian Bach,1/4/1980,80,1551,kyung wha chung,johann sebastian bach,A2427
13399,1676,"String Quartet No. 13 in B flat major, Op. 130 by Ludwig van Beethoven",1/4/1980,80,1551,kyung wha chung,ludwig van beethoven,A3004
13396,1676,A Little Jazz Exercise by Oscar Peterson,1/4/1980,80,1551,kyung wha chung,oscar peterson,A3645
13397,1676,Don Quixote by Richard Strauss,1/4/1980,80,1551,kyung wha chung,richard strauss,A4054
13394,1676,Piano Trio No. 1 in D Minor by Robert Schumann,1/4/1980,80,1551,kyung wha chung,robert schumann,A4108
13395,1676,Violin Sonata in F major by Wolfgang Amadeus Mozart,1/4/1980,80,1551,kyung wha chung,wolfgang amadeus mozart,A5418
13392,1675,Prélude à l'après midi d'un faune by Claude Debussy,1/11/1980,80,2247,reginald goodall,claude debussy,A904
13390,1675,Ihn selbst am Kreuze (from Parsifal),1/11/1980,80,2247,reginald goodall,ihn selbst am kreuze from parsifal,A2133
13386,1675,"Well-tempered Clavier, Book 1 - Prelude & Fugue in C major by Johann Sebastian Bach",1/11/1980,80,2247,reginald goodall,johann sebastian bach,A2427
13387,1675,Mass in B minor - Kyrie eleison by Johann Sebastian Bach,1/11/1980,80,2247,reginald goodall,johann sebastian bach,A2427
13388,1675,Suite for Solo Cello No. 1 in G major by Johann Sebastian Bach,1/11/1980,80,2247,reginald goodall,johann sebastian bach,A2427
13389,1675,Symphony No. 9 in D minor 'Choral' by Ludwig van Beethoven,1/11/1980,80,2247,reginald goodall,ludwig van beethoven,A3004
13385,1675,Alleluia by Monks Of The Abbey Of St Pierre De Solesmes,1/11/1980,80,2247,reginald goodall,monks of the abbey of st pierre de solesmes,A3359
13391,1675,Symphony No. 6 in B minor 'Pathétique' by Peter Ilyich Tchaikovsky,1/11/1980,80,2247,reginald goodall,pyotr ilyich tchaikovsky,A3932
13382,1674,Better Than Anything by Al Jarreau,1/18/1980,80,2627,sir peter parker,al jarreau,A76
13379,1674,Nocturne by Benjamin Britten,1/18/1980,80,2627,sir peter parker,benjamin britten,A438
13377,1674,La Marseillaise by Claude-Joseph Rouget de l’Isle,1/18/1980,80,2627,sir peter parker,claude joseph rouget de l isle,A905
13384,1674,Symphony No. 7 in A major by Ludwig van Beethoven,1/18/1980,80,2627,sir peter parker,ludwig van beethoven,A3004
13381,1674,Mariette by Oscar Straus,1/18/1980,80,2627,sir peter parker,oscar straus,A3646
13380,1674,Adagio in G Minor for Organ & Strings by Tomaso Albinoni & Remo Giazotto,1/18/1980,80,2627,sir peter parker,tomaso albinoni remo giazotto,A5144
13383,1674,The Crystal Cabinet by William Blake,1/18/1980,80,2627,sir peter parker,william blake,A5381
13378,1674,Oboe Quartet in F major by Wolfgang Amadeus Mozart,1/18/1980,80,2627,sir peter parker,wolfgang amadeus mozart,A5418
13370,1673,Body and Soul by Art Tatum,1/25/1980,80,695,dizzy gillespie,art tatum,A285
13374,1673,You Don't Know What Love Is by Billy Eckstine & Eddie Fraser,1/25/1980,80,695,dizzy gillespie,billy eckstine,A511
13371,1673,Lament by Charlie Parker's Reboppers,1/25/1980,80,695,dizzy gillespie,charlie parker,A811
13375,1673,Parker's Mood by Charlie Parker All-Stars,1/25/1980,80,695,dizzy gillespie,charlie parker,A811
13373,1673,Daahoud by Clifford Brown Ensemble,1/25/1980,80,695,dizzy gillespie,clifford brown,A917
13376,1673,Passion Flower by Ella Fitzgerald,1/25/1980,80,695,dizzy gillespie,ella fitzgerald,A1368
13369,1673,"Rockin' Chair by Roy Eldridge, Gene Krupa Band",1/25/1980,80,695,dizzy gillespie,roy eldridge gene krupa band,A4184
13372,1673,Deep Purple by Sarah Vaughan,1/25/1980,80,695,dizzy gillespie,sarah vaughan,A4291
13364,1672,Les Biches Ballet Suite - 2nd movement by Francis Poulenc,2/1/1980,80,2533,sir cecil beaton,francis poulenc,A1576
13361,1672,Ich seh' schon (from The Merry Widow) by Franz Lehár,2/1/1980,80,2533,sir cecil beaton,franz lehar,A1615
13363,1672,Cheek To Cheek by Fred Astaire,2/1/1980,80,2533,sir cecil beaton,fred astaire,A1622
13362,1672,Les Sylphides,2/1/1980,80,2533,sir cecil beaton,frédéric chopin,A1637
13367,1672,Die zwei blauen Augen (from Lieder eines fahrenden Gesellen) by Gustav Mahler,2/1/1980,80,2533,sir cecil beaton,gustav mahler,A1898
13366,1672,Ballad of Mack the Knife (from The Threepenny Opera) by Kurt Weill,2/1/1980,80,2533,sir cecil beaton,kurt weill,A2745
13365,1672,Gigi by Louis Jourdan,2/1/1980,80,2533,sir cecil beaton,louis jourdan,A2979
13368,1672,Symphony No. 1 in C Major by Ludwig van Beethoven,2/1/1980,80,2533,sir cecil beaton,ludwig van beethoven,A3004
13358,1671,Advise and Consent (from),2/8/1980,80,2002,otto preminger,advise and consent from,A59
13357,1671,Almost Cried by Duke Ellington & His Orchestra,2/8/1980,80,2002,otto preminger,duke ellington,A1262
13354,1671,Frankie Machine by Elmer Bernstein,2/8/1980,80,2002,otto preminger,elmer bernstein,A1382
13353,1671,Laura by Frank Sinatra,2/8/1980,80,2002,otto preminger,frank sinatra,A1599
13355,1671,Beat Out Dat Rhythm on a Drum by Marilyn Horne,2/8/1980,80,2002,otto preminger,marilyn horne,A3117
13359,1671,A Woman Is A Sometime Thing by Robert McFerrin,2/8/1980,80,2002,otto preminger,robert mcferrin,A4101
13356,1671,The Moon Is Blue by Sally Sweetland,2/8/1980,80,2002,otto preminger,sally sweetland,A4260
13360,1671,Fight For Survival by Sinfonia of London,2/8/1980,80,2002,otto preminger,sinfonia of london,A4416
13349,1670,Symphony No. 7 in E major by Anton Bruckner,2/15/1980,80,478,claudio abbado,anton bruckner,A242
13346,1670,Fêtes (from Nocturnes) by Claude Debussy,2/15/1980,80,478,claudio abbado,claude debussy,A904
13348,1670,String Quintet in C major by Franz Schubert,2/15/1980,80,478,claudio abbado,franz schubert,A1618
13351,1670,Symphony No. 9 in D major by Gustav Mahler,2/15/1980,80,478,claudio abbado,gustav mahler,A1898
13347,1670,"St Matthew Passion - Kommt, ihr Töchter by Johann Sebastian Bach",2/15/1980,80,478,claudio abbado,johann sebastian bach,A2427
13345,1670,Symphony No. 9 in D minor 'Choral' by Ludwig van Beethoven,2/15/1980,80,478,claudio abbado,ludwig van beethoven,A3004
13352,1670,Liebestod (from Tristan und Isolde),2/15/1980,80,478,claudio abbado,richard wagner,A4058
13350,1670,The Magic Flute by Wolfgang Amadeus Mozart,2/15/1980,80,478,claudio abbado,wolfgang amadeus mozart,A5418
