Source,Target,Type,Weight
A2091,A3564,Undirected,1
A1325,A1790,Undirected,2
A1180,A2132,Undirected,1
A3445,A3825,Undirected,2
A1983,A2014,Undirected,1
A1749,A3788,Undirected,1
A1390,A5333,Undirected,1
A1725,A3932,Undirected,1
A1824,A4705,Undirected,3
A786,A1725,Undirected,1
A1326,A2570,Undirected,1
A461,A3602,Undirected,1
A3515,A4108,Undirected,1
A357,A3932,Undirected,2
A4284,A5246,Undirected,1
A2364,A5418,Undirected,2
A526,A2306,Undirected,1
A3004,A3868,Undirected,1
A1818,A3004,Undirected,1
A1448,A3939,Undirected,1
A1599,A3461,Undirected,1
A1725,A5418,Undirected,23
A375,A5418,Undirected,1
A702,A1740,Undirected,1
A651,A1042,Undirected,1
A1537,A4180,Undirected,1
A912,A3802,Undirected,1
A357,A5418,Undirected,3
A2530,A2908,Undirected,1
A1618,A4276,Undirected,1
A3524,A3894,Undirected,1
A116,A3868,Undirected,1
A1515,A4624,Undirected,1
A2271,A5214,Undirected,1
A1262,A1622,Undirected,1
A526,A5267,Undirected,1
A723,A783,Undirected,1
A1536,A3932,Undirected,1
A4966,A5391,Undirected,1
A904,A1725,Undirected,1
A904,A2319,Undirected,1
A3174,A5208,Undirected,1
A3445,A3745,Undirected,1
A2304,A4054,Undirected,2
A1818,A1898,Undirected,1
A297,A681,Undirected,1
A755,A783,Undirected,1
A3831,A4058,Undirected,1
A725,A2132,Undirected,1
A670,A4705,Undirected,3
A325,A1831,Undirected,1
A438,A4401,Undirected,1
A2304,A3653,Undirected,1
A438,A2841,Undirected,3
A444,A1178,Undirected,1
A1820,A4705,Undirected,1
A2352,A4106,Undirected,2
A3359,A3564,Undirected,1
A1275,A3004,Undirected,4
A1368,A2498,Undirected,1
A430,A438,Undirected,1
A1790,A3969,Undirected,2
A1413,A5418,Undirected,2
A1510,A2572,Undirected,1
A3595,A4313,Undirected,1
A2704,A4479,Undirected,1
A275,A1898,Undirected,1
A3213,A3977,Undirected,1
A1382,A4260,Undirected,1
A2656,A4772,Undirected,1
A3414,A4595,Undirected,1
A1599,A3168,Undirected,1
A3831,A3872,Undirected,1
A802,A2427,Undirected,1
A3952,A4947,Undirected,1
A1170,A1368,Undirected,1
A2074,A4384,Undirected,1
A1599,A2228,Undirected,2
A3440,A4813,Undirected,1
A1312,A5246,Undirected,2
A1368,A2768,Undirected,1
A1325,A3004,Undirected,3
A1368,A4184,Undirected,1
A1629,A2913,Undirected,1
A2342,A2466,Undirected,1
A272,A1815,Undirected,1
A3461,A3932,Undirected,2
A1853,A3745,Undirected,1
A1983,A5144,Undirected,2
A1790,A5267,Undirected,1
A1790,A4207,Undirected,2
A106,A1554,Undirected,1
A3025,A5144,Undirected,1
A3041,A5212,Undirected,1
A1599,A3117,Undirected,1
A4084,A4846,Undirected,1
A3461,A5418,Undirected,1
A438,A607,Undirected,1
A2014,A2129,Undirected,1
A3937,A4409,Undirected,1
A1413,A2007,Undirected,1
A3859,A4797,Undirected,1
A1400,A5246,Undirected,1
A4705,A5146,Undirected,1
A189,A908,Undirected,1
A385,A5418,Undirected,1
A1280,A2616,Undirected,1
A1325,A1898,Undirected,1
A2745,A5418,Undirected,2
A301,A1983,Undirected,1
A1052,A5319,Undirected,1
A728,A3932,Undirected,1
A881,A1639,Undirected,1
A1427,A4057,Undirected,1
A1804,A2430,Undirected,1
A117,A4993,Undirected,1
A4131,A4409,Undirected,2
A385,A444,Undirected,1
A1326,A3793,Undirected,1
A3279,A5361,Undirected,1
A811,A917,Undirected,2
A1725,A1978,Undirected,1
A345,A4054,Undirected,1
A2181,A2807,Undirected,1
A1042,A1465,Undirected,1
A1057,A1209,Undirected,1
A1618,A3932,Undirected,6
A1291,A1615,Undirected,1
A1768,A4056,Undirected,1
A1400,A3201,Undirected,1
A1394,A1824,Undirected,1
A297,A4697,Undirected,1
A3788,A3850,Undirected,1
A30,A1618,Undirected,1
A3352,A4114,Undirected,1
A2315,A4952,Undirected,1
A4087,A5394,Undirected,1
A248,A3751,Undirected,1
A2217,A2427,Undirected,1
A3163,A5418,Undirected,1
A1657,A4030,Undirected,1
A1695,A4923,Undirected,1
A1275,A4860,Undirected,1
A2501,A5320,Undirected,1
A1280,A3554,Undirected,1
A4072,A4917,Undirected,1
A1057,A3445,Undirected,1
A255,A1448,Undirected,1
A1618,A5418,Undirected,62
A1448,A4443,Undirected,1
A189,A5382,Undirected,1
A55,A97,Undirected,1
A678,A5418,Undirected,1
A2970,A3861,Undirected,1
A1695,A4705,Undirected,3
A1851,A2611,Undirected,1
A1815,A3771,Undirected,1
A915,A1394,Undirected,1
A1749,A2074,Undirected,1
A255,A3515,Undirected,1
A2074,A2570,Undirected,1
A1599,A5135,Undirected,1
A1804,A2427,Undirected,1
A2519,A2582,Undirected,1
A325,A5418,Undirected,1
A2430,A4480,Undirected,1
A4705,A5007,Undirected,1
A506,A3414,Undirected,1
A1170,A2799,Undirected,1
A3745,A4274,Undirected,1
A2614,A3187,Undirected,1
A1890,A5255,Undirected,1
A3488,A4407,Undirected,1
A1897,A4054,Undirected,1
A4054,A4291,Undirected,1
A3872,A3932,Undirected,1
A3744,A4336,Undirected,1
A1815,A3665,Undirected,1
A4752,A5418,Undirected,1
A1635,A3771,Undirected,1
A1768,A1815,Undirected,1
A1515,A3394,Undirected,1
A679,A4653,Undirected,1
A1312,A4527,Undirected,1
A255,A375,Undirected,1
A2101,A4517,Undirected,1
A1898,A2570,Undirected,1
A3004,A3645,Undirected,2
A2608,A3711,Undirected,1
A729,A1618,Undirected,1
A1510,A4506,Undirected,1
A183,A3004,Undirected,1
A2715,A3031,Undirected,1
A3445,A4035,Undirected,1
A248,A1325,Undirected,1
A438,A845,Undirected,1
A1170,A4741,Undirected,1
A3376,A4705,Undirected,1
A1599,A1618,Undirected,2
A3089,A3146,Undirected,1
A679,A2992,Undirected,1
A1325,A4705,Undirected,1
A2074,A3004,Undirected,4
A3414,A5144,Undirected,1
A2012,A4058,Undirected,1
A1436,A5058,Undirected,1
A1853,A3561,Undirected,1
A1749,A2221,Undirected,1
A1469,A3348,Undirected,1
A4291,A4423,Undirected,1
A1490,A1725,Undirected,1
A3004,A5383,Undirected,1
A3329,A5418,Undirected,1
A3004,A4818,Undirected,1
A285,A937,Undirected,1
A3934,A4705,Undirected,4
A679,A2904,Undirected,1
A1618,A2484,Undirected,1
A1725,A2623,Undirected,1
A1824,A1839,Undirected,1
A417,A4705,Undirected,1
A1982,A4131,Undirected,1
A2790,A4397,Undirected,1
A3666,A5418,Undirected,1
A183,A3358,Undirected,1
A1618,A2554,Undirected,1
A2427,A3030,Undirected,1
A1725,A3669,Undirected,1
A719,A3161,Undirected,1
A3231,A4697,Undirected,1
A3810,A4204,Undirected,1
A375,A506,Undirected,2
A1749,A2572,Undirected,4
A3004,A3456,Undirected,1
A903,A2345,Undirected,1
A1262,A5469,Undirected,1
A904,A2470,Undirected,1
A2809,A4705,Undirected,1
A904,A1790,Undirected,1
A2304,A4058,Undirected,1
A1630,A2811,Undirected,1
A264,A375,Undirected,1
A2430,A3053,Undirected,1
A4336,A4527,Undirected,1
A1815,A1942,Undirected,1
A2223,A3745,Undirected,1
A886,A1012,Undirected,1
A3004,A4423,Undirected,1
A1865,A3946,Undirected,1
A1052,A5135,Undirected,1
A1326,A3788,Undirected,1
A288,A1639,Undirected,1
A1727,A3554,Undirected,2
A1622,A4775,Undirected,1
A1164,A2427,Undirected,1
A1312,A2715,Undirected,2
A1436,A1727,Undirected,1
A903,A3962,Undirected,1
A111,A1275,Undirected,1
A3602,A4054,Undirected,1
A1857,A3245,Undirected,1
A2788,A3004,Undirected,1
A2656,A4309,Undirected,1
A904,A2183,Undirected,1
A437,A1815,Undirected,1
A3461,A4306,Undirected,1
A1326,A5032,Undirected,1
A4054,A4054,Undirected,1
A726,A2996,Undirected,1
A1599,A4416,Undirected,1
A1898,A1898,Undirected,1
A3554,A4269,Undirected,1
A1368,A2429,Undirected,1
A974,A4117,Undirected,1
A737,A4687,Undirected,1
A2715,A3744,Undirected,1
A276,A1012,Undirected,1
A1120,A1262,Undirected,1
A2132,A3081,Undirected,1
A4291,A5418,Undirected,2
A1725,A1989,Undirected,1
A2430,A4409,Undirected,1
A1367,A3554,Undirected,1
A1312,A4336,Undirected,1
A726,A5099,Undirected,1
A4694,A4741,Undirected,1
A3231,A4843,Undirected,1
A2862,A3388,Undirected,1
A363,A1618,Undirected,1
A2427,A3939,Undirected,1
A297,A1417,Undirected,1
A2430,A3047,Undirected,1
A2091,A3004,Undirected,1
A375,A1390,Undirected,1
A1790,A2790,Undirected,1
A5297,A5418,Undirected,1
A888,A1815,Undirected,1
A455,A3868,Undirected,1
A1395,A3977,Undirected,1
A377,A2429,Undirected,1
A2692,A3004,Undirected,1
A1368,A5072,Undirected,1
A1052,A2456,Undirected,1
A3004,A4188,Undirected,1
A248,A3255,Undirected,1
A1965,A3199,Undirected,1
A1599,A3521,Undirected,1
A345,A4058,Undirected,1
