Id,Label,date_of_episode
A868,christian sinding,"January 4, 1980"
A1368,ella fitzgerald,"January 4, 1980"
A2427,johann sebastian bach,"January 4, 1980"
A3004,ludwig van beethoven,"January 4, 1980"
A3645,oscar peterson,"January 4, 1980"
A4054,richard strauss,"January 4, 1980"
A4108,robert schumann,"January 4, 1980"
A5418,wolfgang amadeus mozart,"January 4, 1980"
A904,claude debussy,"January 11, 1980"
A2133,ihn selbst am kreuze from parsifal,"January 11, 1980"
A2427,johann sebastian bach,"January 11, 1980"
A3004,ludwig van beethoven,"January 11, 1980"
A3359,monks of the abbey of st pierre de solesmes,"January 11, 1980"
A3932,pyotr ilyich tchaikovsky,"January 11, 1980"
A76,al jarreau,"January 18, 1980"
A438,benjamin britten,"January 18, 1980"
A905,claude joseph rouget de l isle,"January 18, 1980"
A3004,ludwig van beethoven,"January 18, 1980"
A3646,oscar straus,"January 18, 1980"
A5144,tomaso albinoni remo giazotto,"January 18, 1980"
A5381,william blake,"January 18, 1980"
A5418,wolfgang amadeus mozart,"January 18, 1980"
A285,art tatum,"January 25, 1980"
A511,billy eckstine,"January 25, 1980"
A811,charlie parker,"January 25, 1980"
A917,clifford brown,"January 25, 1980"
A1368,ella fitzgerald,"January 25, 1980"
A4184,roy eldridge gene krupa band,"January 25, 1980"
A4291,sarah vaughan,"January 25, 1980"
A1576,francis poulenc,"February 1, 1980"
A1615,franz lehar,"February 1, 1980"
A1622,fred astaire,"February 1, 1980"
A1637,frédéric chopin,"February 1, 1980"
A1898,gustav mahler,"February 1, 1980"
A2745,kurt weill,"February 1, 1980"
A2979,louis jourdan,"February 1, 1980"
A3004,ludwig van beethoven,"February 1, 1980"
A59,advise and consent from,"February 8, 1980"
A1262,duke ellington,"February 8, 1980"
A1382,elmer bernstein,"February 8, 1980"
A1599,frank sinatra,"February 8, 1980"
A3117,marilyn horne,"February 8, 1980"
A4101,robert mcferrin,"February 8, 1980"
A4260,sally sweetland,"February 8, 1980"
A4416,sinfonia of london,"February 8, 1980"
A242,anton bruckner,"February 15, 1980"
A904,claude debussy,"February 15, 1980"
A1618,franz schubert,"February 15, 1980"
A1898,gustav mahler,"February 15, 1980"
A2427,johann sebastian bach,"February 15, 1980"
A3004,ludwig van beethoven,"February 15, 1980"
A4058,richard wagner,"February 15, 1980"
A5418,wolfgang amadeus mozart,"February 15, 1980"
A1515,felix mendelssohn,"February 22, 1980"
A2427,johann sebastian bach,"February 22, 1980"
A2572,joseph haydn,"February 22, 1980"
A2599,judi dench,"February 22, 1980"
A3004,ludwig van beethoven,"February 22, 1980"
A4054,richard strauss,"February 22, 1980"
A4291,sarah vaughan,"February 22, 1980"
A5418,wolfgang amadeus mozart,"February 22, 1980"
A673,buffy sainte marie,"February 29, 1980"
A752,carolyn hester,"February 29, 1980"
A1725,george frideric handel,"February 29, 1980"
A1948,harry champion,"February 29, 1980"
A2602,judy collins,"February 29, 1980"
A2603,judy garland,"February 29, 1980"
A3646,oscar straus,"February 29, 1980"
A4108,robert schumann,"February 29, 1980"
A461,bessie smith,"March 7, 1980"
A1280,eagles,"March 7, 1980"
A1652,full tilt boogie band,"March 7, 1980"
A2427,johann sebastian bach,"March 7, 1980"
A2514,john williams,"March 7, 1980"
A2560,jose feliciano,"March 7, 1980"
A3004,ludwig van beethoven,"March 7, 1980"
A5418,wolfgang amadeus mozart,"March 7, 1980"
A1129,der ring des nibelungen,"March 14, 1980"
A1983,hector berlioz,"March 14, 1980"
A2958,los fronterizos,"March 14, 1980"
A2977,louis armstrong,"March 14, 1980"
A4054,richard strauss,"March 14, 1980"
A4752,the chieftains,"March 14, 1980"
A5144,tomaso albinoni remo giazotto,"March 14, 1980"
A5418,wolfgang amadeus mozart,"March 14, 1980"
A183,andor korossy and budapest gypsy orchestra,"March 21, 1980"
A1469,ethel waters,"March 21, 1980"
A1618,franz schubert,"March 21, 1980"
A2335,jerry gray and his orchestra,"March 21, 1980"
A3004,ludwig van beethoven,"March 21, 1980"
A3201,maurice ravel,"March 21, 1980"
A3348,modest mussorgsky,"March 21, 1980"
A3358,monks of greek orthodox church,"March 21, 1980"
A792,charles francois gounod,"March 28, 1980"
A1325,edvard grieg,"March 28, 1980"
A1664,galapagos sea lions,"March 28, 1980"
A1853,gracie fields,"March 28, 1980"
A2429,johann strauss ii,"March 28, 1980"
A3807,peter dawson,"March 28, 1980"
A3810,peter glossop,"March 28, 1980"
A4204,royal military school of music,"March 28, 1980"
A811,charlie parker,"April 4, 1980"
A1326,edward elgar,"April 4, 1980"
A1815,giuseppe verdi,"April 4, 1980"
A1828,gloria gaynor,"April 4, 1980"
A2427,johann sebastian bach,"April 4, 1980"
A4072,ringo starr,"April 4, 1980"
A4705,the beatles,"April 4, 1980"
A4917,the modern jazz quartet,"April 4, 1980"
A702,camille saint saens,"April 11, 1980"
A1515,felix mendelssohn,"April 11, 1980"
A1725,george frideric handel,"April 11, 1980"
A3004,ludwig van beethoven,"April 11, 1980"
A3206,max bruch,"April 11, 1980"
A3897,portsmouth citadel band,"April 11, 1980"
A5418,wolfgang amadeus mozart,"April 11, 1980"
A444,benny goodman,"April 18, 1980"
A1618,franz schubert,"April 18, 1980"
A2427,johann sebastian bach,"April 18, 1980"
A3004,ludwig van beethoven,"April 18, 1980"
A3212,max miller,"April 18, 1980"
A4026,rex harrison,"April 18, 1980"
A4106,robert preston,"April 18, 1980"
A5418,wolfgang amadeus mozart,"April 18, 1980"
A255,antonio vivaldi,"April 25, 1980"
A786,charles aznavour,"April 25, 1980"
A1052,darius milhaud,"April 25, 1980"
A2456,john gay,"April 25, 1980"
A3206,max bruch,"April 25, 1980"
