Unique Identifier,episode_ref,track_name,date,date_text,decade,castaway_ref,std_name,std_artist,std_artist_id
22616,2828,Marche slave by Peter Ilyich Tchaikovsky,1/29/1942,"January 29,1942",40,2855,vic oliver,pyotr ilyich tchaikovsky,A3932
22612,2827,Symphony No. 4 In F Minor by Peter Ilyich Tchaikovsky,2/5/1942,"February 5,1942",40,1226,james agate,pyotr ilyich tchaikovsky,A3932
22599,2826,Cockaigne Overture by Edward Elgar,2/12/1942,"February 12,1942",40,501,commander campbell,edward elgar,A1326
22583,2824,Ständchen (from Schwanengesang) by Franz Schubert,2/26/1942,"February 26,1942",40,2022,pat kirkwood,franz schubert,A1618
22573,2823,Symphony No. 5 in E minor by Peter Ilyich Tchaikovsky,3/5/1942,"March 5,1942",40,1201,jack hylton,pyotr ilyich tchaikovsky,A3932
22571,2822,"Piano Sonata No. 14 in C sharp minor, Op.27/2 'Moonlight' by Ludwig van Beethoven",3/12/1942,"March 12,1942",40,380,captain a e dingle,ludwig van beethoven,A3004
22564,2821,Piano Concerto No. 1 in B flat minor by Peter Ilyich Tchaikovsky,3/19/1942,"March 19,1942",40,1333,joan jay,pyotr ilyich tchaikovsky,A3932
22544,2819,Ständchen (from Schwanengesang) by Franz Schubert,4/2/1942,"April 2,1942",40,187,arthur askey,franz schubert,A1618
22547,2819,String Quartet No 1 in D major - Andante Cantabile by Peter Ilyich Tchaikovsky,4/2/1942,"April 2,1942",40,187,arthur askey,pyotr ilyich tchaikovsky,A3932
22535,2818,"Variations on an Original Theme, Op. 36: Variation IX ""Nimrod"" by Edward Elgar",4/9/1942,"April 9,1942",40,536,dame eva turner,edward elgar,A1326
22540,2818,Grand March (from Aida) by Giuseppe Verdi,4/9/1942,"April 9,1942",40,536,dame eva turner,giuseppe verdi,A1815
22536,2818,"Jesu, Joy of Mans Desiring from Cantata BWV 147 by Johann Sebastian Bach",4/9/1942,"April 9,1942",40,536,dame eva turner,johann sebastian bach,A2427
22539,2818,Piano Concerto No. 1 in B flat minor by Peter Ilyich Tchaikovsky,4/9/1942,"April 9,1942",40,536,dame eva turner,pyotr ilyich tchaikovsky,A3932
22524,2816,Sleeping Beauty - Waltz by Peter Ilyich Tchaikovsky,4/23/1942,"April 23,1942",40,2800,tom webster,pyotr ilyich tchaikovsky,A3932
22511,2815,Orchestral Suite No. 3 in D major by Johann Sebastian Bach,4/30/1942,"April 30,1942",40,1187,ivor novello,johann sebastian bach,A2427
22501,2814,Il Seraglio Overture by Wolfgang Amadeus Mozart,5/7/1942,"May 7,1942",40,2387,roy plomley,wolfgang amadeus mozart,A5418
22494,2813,"None but the lonely heart, Op. 6/6 by Peter Ilyich Tchaikovsky",7/9/1942,"July 9,1942",40,248,beatrice lillie,pyotr ilyich tchaikovsky,A3932
