Source,Target,Type,Weight
A1618,A3004,Undirected,198
A3004,A2427,Undirected,1
A2427,A1815,Undirected,1
A1326,A1790,Undirected,50
A2427,A3932,Undirected,50
A1815,A1618,Undirected,1
A1326,A5418,Undirected,104
A1326,A2427,Undirected,95
A1618,A1815,Undirected,79
A1790,A3004,Undirected,75
A1815,A3004,Undirected,140
A3004,A1618,Undirected,2
A3932,A1618,Undirected,1
A1618,A3932,Undirected,27
A1326,A1326,Undirected,6
A3004,A3004,Undirected,97
A2427,A5418,Undirected,432
A1815,A1815,Undirected,31
A1790,A1815,Undirected,66
A1326,A1618,Undirected,44
A2427,A2427,Undirected,139
A1326,A3004,Undirected,100
A1815,A3932,Undirected,42
A1790,A3932,Undirected,48
A1618,A1790,Undirected,27
A1618,A5418,Undirected,284
A1618,A2427,Undirected,186
A3004,A3932,Undirected,82
A2427,A1618,Undirected,3
A3932,A3932,Undirected,17
A1326,A1815,Undirected,41
A5418,A5418,Undirected,178
A2427,A3004,Undirected,349
A1790,A1790,Undirected,29
A1815,A5418,Undirected,197
A1790,A5418,Undirected,74
A1815,A2427,Undirected,84
A1790,A2427,Undirected,46
A1618,A1618,Undirected,30
A1326,A3932,Undirected,44
A3004,A5418,Undirected,434
A3932,A5418,Undirected,87
