Id,Label,date_text
A3932,pyotr ilyich tchaikovsky,"January 29,1942"
A3932,pyotr ilyich tchaikovsky,"February 5,1942"
A1326,edward elgar,"February 12,1942"
A1618,franz schubert,"February 26,1942"
A3932,pyotr ilyich tchaikovsky,"March 5,1942"
A3004,ludwig van beethoven,"March 12,1942"
A3932,pyotr ilyich tchaikovsky,"March 19,1942"
A1618,franz schubert,"April 2,1942"
A3932,pyotr ilyich tchaikovsky,"April 2,1942"
A1326,edward elgar,"April 9,1942"
A1815,giuseppe verdi,"April 9,1942"
A2427,johann sebastian bach,"April 9,1942"
A3932,pyotr ilyich tchaikovsky,"April 9,1942"
A3932,pyotr ilyich tchaikovsky,"April 23,1942"
A2427,johann sebastian bach,"April 30,1942"
A5418,wolfgang amadeus mozart,"May 7,1942"
A3932,pyotr ilyich tchaikovsky,"July 9,1942"
A3004,ludwig van beethoven,"July 23,1942"
A3932,pyotr ilyich tchaikovsky,"September 10,1942"
A3004,ludwig van beethoven,"September 25,1942"
A3932,pyotr ilyich tchaikovsky,"September 25,1942"
A1326,edward elgar,"October 9,1942"
A3932,pyotr ilyich tchaikovsky,"October 24,1942"
A1618,franz schubert,"December 3,1942"
A3932,pyotr ilyich tchaikovsky,"December 3,1942"
A3932,pyotr ilyich tchaikovsky,"March 20,1943"
A3004,ludwig van beethoven,"June 8,1943"
A5418,wolfgang amadeus mozart,"June 8,1943"
A3004,ludwig van beethoven,"June 19,1943"
A3932,pyotr ilyich tchaikovsky,"June 19,1943"
A1326,edward elgar,"June 26,1943"
A3932,pyotr ilyich tchaikovsky,"June 26,1943"
A3932,pyotr ilyich tchaikovsky,"July 16,1943"
A1790,giacomo puccini,"July 26,1943"
A5418,wolfgang amadeus mozart,"August 16,1943"
A1618,franz schubert,"October 2,1943"
A3932,pyotr ilyich tchaikovsky,"October 5,1943"
A1618,franz schubert,"November 16,1943"
A5418,wolfgang amadeus mozart,"November 23,1943"
A1618,franz schubert,"January 8,1944"
A2427,johann sebastian bach,"January 29,1944"
A3004,ludwig van beethoven,"January 29,1944"
A3932,pyotr ilyich tchaikovsky,"January 29,1944"
A5418,wolfgang amadeus mozart,"January 29,1944"
A3932,pyotr ilyich tchaikovsky,"February 12,1944"
A1326,edward elgar,"August 11,1945"
A1815,giuseppe verdi,"August 11,1945"
A1618,franz schubert,"August 18,1945"
A1815,giuseppe verdi,"August 18,1945"
A2427,johann sebastian bach,"August 18,1945"
A5418,wolfgang amadeus mozart,"August 18,1945"
A2427,johann sebastian bach,"August 25,1945"
A1790,giacomo puccini,"September 1,1945"
A3932,pyotr ilyich tchaikovsky,"September 1,1945"
A1790,giacomo puccini,"September 8,1945"
A1815,giuseppe verdi,"September 8,1945"
A2427,johann sebastian bach,"September 15,1945"
A5418,wolfgang amadeus mozart,"September 15,1945"
A3932,pyotr ilyich tchaikovsky,"September 22,1945"
A5418,wolfgang amadeus mozart,"September 22,1945"
A2427,johann sebastian bach,"September 29,1945"
A3004,ludwig van beethoven,"September 29,1945"
A3004,ludwig van beethoven,"October 13,1945"
A1618,franz schubert,"October 20,1945"
A2427,johann sebastian bach,"October 20,1945"
A3004,ludwig van beethoven,"October 20,1945"
A5418,wolfgang amadeus mozart,"October 20,1945"
A1326,edward elgar,"October 27,1945"
A3004,ludwig van beethoven,"October 27,1945"
A3932,pyotr ilyich tchaikovsky,"November 17,1945"
A1326,edward elgar,"December 1,1945"
A1618,franz schubert,"December 1,1945"
A2427,johann sebastian bach,"December 1,1945"
A3004,ludwig van beethoven,"December 1,1945"
A5418,wolfgang amadeus mozart,"December 1,1945"
A1790,giacomo puccini,"December 8,1945"
A2427,johann sebastian bach,"December 8,1945"
A3004,ludwig van beethoven,"December 8,1945"
A3004,ludwig van beethoven,"December 15,1945"
A1618,franz schubert,"December 22,1945"
A2427,johann sebastian bach,"December 22,1945"
A3004,ludwig van beethoven,"December 22,1945"
A5418,wolfgang amadeus mozart,"December 22,1945"
A1326,edward elgar,"December 29,1945"
A3004,ludwig van beethoven,"December 29,1945"
A2427,johann sebastian bach,"January 5,1946"
A3932,pyotr ilyich tchaikovsky,"January 5,1946"
A3004,ludwig van beethoven,"January 24,1951"
A5418,wolfgang amadeus mozart,"January 24,1951"
A1790,giacomo puccini,"January 31,1951"
A1815,giuseppe verdi,"January 31,1951"
A1618,franz schubert,"February 7,1951"
A3004,ludwig van beethoven,"February 7,1951"
A5418,wolfgang amadeus mozart,"February 7,1951"
A1790,giacomo puccini,"February 14,1951"
A1790,giacomo puccini,"February 28,1951"
A1815,giuseppe verdi,"February 28,1951"
A3004,ludwig van beethoven,"February 28,1951"
A3932,pyotr ilyich tchaikovsky,"February 28,1951"
A1618,franz schubert,"March 7,1951"
A3932,pyotr ilyich tchaikovsky,"March 14,1951"
A5418,wolfgang amadeus mozart,"March 14,1951"
A1790,giacomo puccini,"March 21,1951"
A1815,giuseppe verdi,"March 21,1951"
A2427,johann sebastian bach,"March 21,1951"
A3004,ludwig van beethoven,"March 21,1951"
A1790,giacomo puccini,"April 4,1951"
A1815,giuseppe verdi,"April 25,1951"
A3932,pyotr ilyich tchaikovsky,"April 25,1951"
A2427,johann sebastian bach,"May 9,1951"
A3004,ludwig van beethoven,"May 9,1951"
A5418,wolfgang amadeus mozart,"May 9,1951"
A1815,giuseppe verdi,"May 16,1951"
A3932,pyotr ilyich tchaikovsky,"May 16,1951"
A1618,franz schubert,"May 30,1951"
A2427,johann sebastian bach,"May 30,1951"
A3932,pyotr ilyich tchaikovsky,"June 13,1951"
A1326,edward elgar,"June 20,1951"
A1790,giacomo puccini,"June 27,1951"
A1815,giuseppe verdi,"June 27,1951"
A1326,edward elgar,"July 4,1951"
A1326,edward elgar,"July 11,1951"
A1815,giuseppe verdi,"July 25,1951"
A2427,johann sebastian bach,"August 8,1951"
A5418,wolfgang amadeus mozart,"August 22,1951"
A2427,johann sebastian bach,"August 29,1951"
A5418,wolfgang amadeus mozart,"September 5,1951"
A3932,pyotr ilyich tchaikovsky,"September 18,1951"
A1326,edward elgar,"September 25,1951"
A1815,giuseppe verdi,"September 25,1951"
A3932,pyotr ilyich tchaikovsky,"September 25,1951"
A2427,johann sebastian bach,"October 2,1951"
A3004,ludwig van beethoven,"October 2,1951"
A3932,pyotr ilyich tchaikovsky,"October 2,1951"
A1790,giacomo puccini,"October 9,1951"
A2427,johann sebastian bach,"October 23,1951"
A3004,ludwig van beethoven,"October 23,1951"
A2427,johann sebastian bach,"October 30,1951"
A5418,wolfgang amadeus mozart,"October 30,1951"
A1618,franz schubert,"November 13,1951"
